,동이름,건물이름,도로주소,주용도,기타용도,건축면적,대지면적
176,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
177,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
178,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
179,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
180,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
181,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
182,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
183,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
184,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
185,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
186,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
187,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
188,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
189,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
190,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
191,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
192,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
193,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
194,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
195,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
196,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
197,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
198,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
199,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
200,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
201,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
202,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
203,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
204,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
