행정동_명칭,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
구로3동,406607656,29482041.0,87643.0,5881.0,1485.0,3381.0,54926.0,695480.0,874010.0,2105740.0,2853885.0,1797214.0,1129699.0,1052281.0,1150666.0,1179744.0,1135700.0,1249030.0,1491490.0,2535597.0,4099692.0,2119433.0,1345543.0,1185906.0,891747.0,435868.0
구로4동,406608020,2532473.0,4467.0,486.0,206.0,1150.0,20849.0,45354.0,62705.0,124147.0,175440.0,138042.0,123770.0,127594.0,136317.0,136777.0,141484.0,161912.0,171530.0,200089.0,210707.0,157700.0,115093.0,120235.0,102296.0,54123.0
구로5동,406608384,8175324.0,19598.0,1122.0,566.0,1119.0,101376.0,216154.0,217709.0,516495.0,691248.0,450690.0,333336.0,328059.0,356522.0,390655.0,390403.0,441504.0,507215.0,619905.0,846396.0,515945.0,388399.0,384405.0,303246.0,153257.0
구산동,404788748,3263556.0,4559.0,477.0,330.0,858.0,54363.0,85730.0,168356.0,366243.0,380450.0,252825.0,188842.0,181441.0,183544.0,174820.0,159898.0,180055.0,222765.0,166635.0,154617.0,109731.0,78812.0,71801.0,60143.0,16261.0
구의1동,402241840,10190644.0,19379.0,1326.0,101.0,0.0,9874.0,173501.0,361142.0,904133.0,1491401.0,906832.0,521063.0,460325.0,479491.0,476981.0,459002.0,503421.0,604093.0,597663.0,724208.0,415623.0,327384.0,329683.0,288803.0,135215.0
구의2동,402242204,7566450.0,11818.0,2071.0,1459.0,997.0,26599.0,144162.0,284212.0,684934.0,928954.0,539208.0,373342.0,357641.0,403496.0,415182.0,416987.0,438081.0,487914.0,505623.0,510722.0,323095.0,236667.0,226362.0,180772.0,66152.0
구의3동,402242568,12914418.0,11600.0,292.0,38.0,0.0,1216.0,107859.0,333091.0,948188.0,1396551.0,1004773.0,794859.0,720580.0,709352.0,695171.0,656220.0,697542.0,755533.0,850630.0,983834.0,709524.0,562836.0,485317.0,349617.0,139795.0
군자동,402239656,2989565.0,26055.0,10523.0,4713.0,4840.0,15024.0,66225.0,99025.0,202080.0,275925.0,200168.0,146198.0,141373.0,158201.0,166321.0,160044.0,164962.0,177502.0,198479.0,223458.0,159084.0,119297.0,114111.0,96293.0,59664.0
금호1가동,401877476,3451578.0,2367.0,11.0,3.0,0.0,241.0,41308.0,137145.0,361798.0,475661.0,278847.0,204108.0,185727.0,189698.0,193293.0,174744.0,184287.0,209657.0,201659.0,198923.0,146436.0,100689.0,79471.0,60492.0,25013.0
"금호2,3가동",401882208,1705829.0,1569.0,1.0,0.0,1.0,6525.0,22727.0,57923.0,131400.0,170827.0,115376.0,90025.0,88157.0,93195.0,96040.0,95254.0,98806.0,113324.0,111541.0,114057.0,95373.0,67669.0,61488.0,54094.0,20457.0
금호4가동,401878568,4919775.0,8143.0,78.0,2.0,0.0,9809.0,83267.0,176722.0,454746.0,627765.0,394828.0,288125.0,260525.0,271898.0,270087.0,246785.0,252791.0,281191.0,300404.0,306126.0,217192.0,161916.0,138377.0,116740.0,52258.0
길동,409526936,5802029.0,18480.0,5280.0,5858.0,2957.0,33828.0,119898.0,220901.0,527858.0,589084.0,369862.0,309593.0,306639.0,336451.0,332212.0,301067.0,323386.0,358450.0,392801.0,415056.0,245805.0,188692.0,182398.0,148483.0,66990.0
