구,동,평균직장인구
관악구,신원동,18.5
관악구,서림동,16.166666666666664
관악구,신사동,34.16666666666667
관악구,신림동,51.66666666666667
관악구,난향동,17.0
관악구,조원동,59.83333333333333
관악구,대학동,3.0
관악구,삼성동,4.166666666666666
관악구,미성동,23.0
관악구,난곡동,11.5
서초구,서초1동,285.16666666666663
서초구,서초2동,479.1666666666666
서초구,서초3동,251.5
서초구,서초4동,293.16666666666663
서초구,잠원동,110.0
서초구,반포본동,10.166666666666668
서초구,반포1동,81.33333333333334
서초구,반포2동,16.833333333333336
서초구,반포3동,62.66666666666667
서초구,반포4동,227.16666666666669
서초구,방배본동,115.16666666666666
서초구,방배1동,159.0
서초구,방배2동,73.16666666666666
서초구,방배3동,40.33333333333333
서초구,방배4동,128.5
서초구,양재1동,63.0
서초구,양재2동,162.83333333333331
서초구,내곡동,5.0
강남구,신사동,159.33333333333331
강남구,논현1동,343.16666666666663
강남구,논현2동,451.0
강남구,압구정동,136.5
강남구,청담동,188.16666666666669
강남구,삼성1동,488.6666666666666
강남구,삼성2동,463.0
강남구,대치1동,46.5
강남구,대치2동,315.0
강남구,대치4동,386.0
강남구,역삼1동,798.3333333333333
강남구,역삼2동,428.5
강남구,도곡1동,180.66666666666669
강남구,도곡2동,240.33333333333331
강남구,개포1동,14.166666666666668
강남구,개포2동,11.166666666666668
강남구,개포4동,62.0
강남구,세곡동,7.666666666666667
강남구,일원본동,32.5
강남구,일원1동,38.0
강남구,일원2동,129.5
강남구,수서동,91.0
송파구,풍납1동,13.166666666666668
송파구,풍납2동,68.16666666666666
송파구,거여1동,62.16666666666667
송파구,거여2동,44.66666666666667
송파구,마천1동,20.5
송파구,마천2동,35.0
송파구,방이1동,109.0
송파구,방이2동,185.8333333333333
송파구,오륜동,12.166666666666668
송파구,오금동,78.33333333333334
송파구,송파1동,100.83333333333334
송파구,송파2동,82.66666666666666
송파구,석촌동,96.83333333333334
송파구,삼전동,79.33333333333334
송파구,가락본동,243.66666666666669
송파구,가락1동,78.66666666666666
송파구,가락2동,78.5
송파구,문정1동,102.5
송파구,문정2동,183.0
송파구,장지동,65.83333333333333
송파구,위례동,8.5
송파구,잠실본동,124.0
송파구,잠실2동,12.0
송파구,잠실3동,34.16666666666667
송파구,잠실4동,12.166666666666668
송파구,잠실6동,594.0
송파구,잠실7동,10.0
강동구,강일동,39.5
강동구,상일동,19.833333333333336
강동구,명일1동,52.33333333333333
강동구,명일2동,26.833333333333336
강동구,고덕1동,8.166666666666668
강동구,고덕2동,6.166666666666666
강동구,암사1동,33.33333333333333
강동구,암사2동,12.0
강동구,암사3동,6.666666666666666
강동구,천호1동,41.33333333333333
강동구,천호2동,42.0
강동구,천호3동,67.0
강동구,성내1동,290.83333333333337
강동구,성내2동,58.83333333333333
강동구,성내3동,94.83333333333334
강동구,길동,64.66666666666666
강동구,둔촌1동,6.333333333333333
강동구,둔촌2동,42.66666666666667
종로구,청운효자동,36.83333333333333
종로구,사직동,496.83333333333337
종로구,삼청동,37.5
종로구,부암동,16.166666666666664
종로구,평창동,13.833333333333334
종로구,무악동,17.333333333333332
종로구,교남동,78.0
종로구,가회동,264.5
종로구,종로1.2.3.4가동,486.0
종로구,종로5.6가동,270.3333333333333
종로구,이화동,146.83333333333334
종로구,혜화동,49.33333333333333
종로구,창신1동,79.33333333333333
종로구,창신2동,19.666666666666668
종로구,창신3동,16.166666666666668
종로구,숭인1동,24.333333333333336
종로구,숭인2동,70.0
중구,소공동,1212.0
중구,회현동,645.6666666666666
중구,명동,1339.1666666666667
중구,필동,151.33333333333331
중구,장충동,100.83333333333334
중구,광희동,553.6666666666667
중구,을지로동,363.5
중구,신당동,164.5
중구,다산동,136.0
중구,약수동,293.1666666666667
중구,청구동,86.33333333333334
중구,신당5동,49.0
중구,동화동,65.5
중구,황학동,77.0
중구,중림동,129.33333333333334
용산구,후암동,32.666666666666664
용산구,용산2가동,13.0
용산구,남영동,365.33333333333337
용산구,청파동,82.16666666666666
용산구,원효로1동,187.16666666666663
용산구,원효로2동,57.83333333333333
용산구,효창동,38.16666666666667
용산구,용문동,66.33333333333334
용산구,한강로동,179.16666666666669
용산구,이촌1동,32.5
용산구,이촌2동,12.0
용산구,이태원1동,162.33333333333331
용산구,이태원2동,29.0
용산구,한남동,93.66666666666669
용산구,서빙고동,42.66666666666666
용산구,보광동,16.833333333333336
성동구,왕십리2동,33.5
성동구,왕십리도선동,94.5
성동구,마장동,78.0
성동구,사근동,45.66666666666666
성동구,행당1동,118.5
성동구,행당2동,14.333333333333334
성동구,응봉동,16.833333333333336
성동구,금호1가동,38.33333333333333
성동구,금호2.3가동,17.5
성동구,금호4가동,11.833333333333332
성동구,옥수동,30.166666666666668
성동구,성수1가1동,27.0
성동구,성수1가2동,123.66666666666666
성동구,성수2가1동,233.33333333333331
성동구,성수2가3동,353.6666666666667
성동구,송정동,28.166666666666664
성동구,용답동,69.16666666666667
광진구,화양동,40.16666666666666
광진구,군자동,65.5
광진구,중곡1동,69.16666666666666
광진구,중곡2동,63.33333333333333
광진구,중곡3동,33.166666666666664
광진구,중곡4동,16.166666666666664
광진구,능동,27.333333333333336
광진구,광장동,39.33333333333333
광진구,자양1동,179.83333333333331
광진구,자양2동,31.333333333333336
광진구,자양3동,29.0
광진구,자양4동,18.33333333333333
광진구,구의1동,74.66666666666666
광진구,구의2동,27.333333333333336
광진구,구의3동,96.33333333333334
동대문구,용신동,164.33333333333331
동대문구,제기동,48.66666666666667
동대문구,전농1동,20.0
동대문구,전농2동,39.83333333333333
동대문구,답십리1동,76.5
동대문구,답십리2동,39.16666666666667
동대문구,장안1동,92.66666666666666
동대문구,장안2동,61.16666666666667
동대문구,청량리동,46.66666666666667
동대문구,회기동,30.33333333333333
동대문구,휘경1동,32.0
동대문구,휘경2동,35.0
동대문구,이문1동,48.0
동대문구,이문2동,24.333333333333336
중랑구,면목2동,29.0
중랑구,면목4동,20.333333333333336
중랑구,면목5동,19.333333333333336
중랑구,면목본동,25.666666666666664
중랑구,면목7동,12.166666666666668
중랑구,면목3.8동,23.166666666666664
중랑구,상봉1동,30.0
중랑구,상봉2동,97.5
중랑구,중화1동,28.5
중랑구,중화2동,24.5
중랑구,묵1동,26.0
중랑구,묵2동,30.5
중랑구,망우본동,15.333333333333332
중랑구,망우3동,15.166666666666668
중랑구,신내1동,23.5
중랑구,신내2동,43.5
성북구,성북동,42.333333333333336
성북구,삼선동,69.33333333333334
성북구,동선동,131.5
성북구,돈암1동,37.16666666666667
성북구,돈암2동,34.16666666666667
성북구,안암동,58.5
성북구,보문동,96.0
성북구,정릉1동,31.5
성북구,정릉2동,15.166666666666666
성북구,정릉3동,8.5
성북구,정릉4동,7.0
성북구,길음1동,37.5
성북구,길음2동,19.0
성북구,종암동,52.833333333333336
성북구,월곡1동,35.333333333333336
