구,동,평균거주인구
동작구,신대방2동,208.66666666666669
관악구,보라매동,324.33333333333337
관악구,청림동,560.0
관악구,성현동,481.6666666666666
관악구,행운동,403.6666666666666
관악구,낙성대동,69.83333333333334
관악구,청룡동,234.8333333333333
관악구,은천동,477.33333333333337
관악구,중앙동,393.33333333333337
관악구,인헌동,384.6666666666666
관악구,남현동,45.0
관악구,서원동,358.33333333333337
관악구,신원동,341.0
관악구,서림동,250.8333333333333
관악구,신사동,379.1666666666666
관악구,신림동,405.0
관악구,난향동,212.5
관악구,조원동,269.16666666666663
관악구,대학동,29.0
관악구,삼성동,103.16666666666666
관악구,미성동,238.0
관악구,난곡동,299.66666666666663
서초구,서초1동,153.33333333333331
서초구,서초2동,138.5
서초구,서초3동,99.16666666666666
서초구,서초4동,336.5
서초구,잠원동,187.16666666666669
서초구,반포본동,84.5
서초구,반포1동,285.5
서초구,반포2동,183.5
서초구,반포3동,143.5
서초구,반포4동,138.66666666666669
서초구,방배본동,324.83333333333337
서초구,방배1동,247.16666666666669
서초구,방배2동,138.0
서초구,방배3동,94.0
서초구,방배4동,267.5
서초구,양재1동,82.83333333333334
서초구,양재2동,31.166666666666664
서초구,내곡동,14.0
강남구,신사동,102.33333333333334
강남구,논현1동,187.3333333333333
강남구,논현2동,151.0
강남구,압구정동,111.5
강남구,청담동,124.5
강남구,삼성1동,76.83333333333334
강남구,삼성2동,238.8333333333333
강남구,대치1동,314.5
강남구,대치2동,202.16666666666669
강남구,대치4동,290.66666666666663
강남구,역삼1동,148.83333333333331
강남구,역삼2동,322.66666666666663
강남구,도곡1동,221.16666666666669
강남구,도곡2동,321.66666666666663
강남구,개포1동,157.16666666666666
강남구,개포2동,68.83333333333333
강남구,개포4동,117.66666666666666
강남구,세곡동,76.5
강남구,일원본동,104.66666666666666
강남구,일원1동,178.83333333333331
강남구,일원2동,153.33333333333331
강남구,수서동,101.33333333333334
송파구,풍납1동,144.16666666666669
송파구,풍납2동,118.5
송파구,거여1동,246.66666666666669
송파구,거여2동,347.5
송파구,마천1동,382.6666666666666
송파구,마천2동,249.16666666666669
송파구,방이1동,274.33333333333337
송파구,방이2동,327.66666666666663
송파구,오륜동,63.0
송파구,오금동,228.3333333333333
송파구,송파1동,384.0
송파구,송파2동,336.83333333333337
송파구,석촌동,362.1666666666666
송파구,삼전동,335.83333333333337
송파구,가락본동,274.83333333333337
송파구,가락1동,6.5
