"구별","동별","주차장면수","인구밀도","평균교통량","평균유동인구","평균직장인구","평균거주인구","차량등록대수","주민인구","면적","승객수","구별_더미"
"서대문구","홍은2동",10590,13349,1348.02910859466,24993.8333333333,28,132,7363,27499,2.06,6876787,14
"서대문구","홍제1동",8056,20060,1234.44936590611,40421.5,17,163,6553,24674,1.23,12856212,14
"서대문구","홍제2동",5968,12793,1234.44936590611,38616.6666666667,10,202,3685,13433,1.05,1948799,14
"서대문구","홍제3동",4303,22086,1234.44936590611,38340.8333333333,11,145,4622,17890,0.81,3258893,14
"서초구","내곡동",11009,1377,1978.88687992096,157.333333333333,11,14,8252,17455,12.68,3392651,15
"서초구","반포1동",17294,34443,1978.88687992096,64522,73,323,11760,34443,1,7258074,15
"서초구","반포2동",9473,11661,1869.47583932854,13334.5,78,128,5827,15742,1.35,3433024,15
"서초구","반포3동",11136,17791,446.413441955193,20185.3333333333,65,169,7828,22773,1.28,4764548,15
"서초구","반포4동",19332,13627,1647.83403459561,44759,668,137,7042,19486,1.43,31754654,15
"서초구","반포본동",691,289,1978.88687992096,1645.66666666667,164,80,1250,292,1.01,1163908,15
"서초구","방배1동",9809,24119,1978.88687992096,67766.3333333333,275,249,7283,16883,0.7,7308178,15
"서초구","방배2동",10052,9613,1293.77046460177,24059,88,106,5992,18553,1.93,3327160,15
"서초구","방배3동",13608,7217,1610.18703703704,12817.6666666667,74,88,7024,17321,2.4,8791916,15
"서초구","방배4동",13476,23907,1978.88687992096,77130.1666666667,229,249,8080,23429,0.98,3524302,15
"서초구","방배본동",12483,31012,1696.30285274621,68641.6666666667,430,320,7910,20778,0.67,2462544,15
"서초구","서초1동",20030,14523,1978.88687992096,54491.5,343,152,17110,20622,1.42,17533529,15
"서초구","서초2동",27793,21719,1978.88687992096,60481,552,174,10137,26932,1.24,33836124,15
"서초구","서초3동",36164,11051,1408.36818054892,38201,225,105,15218,32379,2.93,23478922,15
"서초구","서초4동",21017,34683,1978.88687992096,67953.5,425,356,11805,30521,0.88,4608565,15
"서초구","양재1동",31702,7410,1978.88687992096,14706.1666666667,58,78,20923,42683,5.76,24074775,15
"서초구","양재2동",32216,2872,3858.14580274107,7769.66666666667,58,30,12982,21766,7.58,7973415,15
"서초구","잠원동",13664,14996,1978.88687992096,31333.5,89,154,9994,26393,1.76,4894040,15
"성동구","금호1가동",5457,32907,1514.01340804369,90219.6666666667,52,356,4796,15137,0.46,3451578,16
"성동구","금호2.3가동",6764,35036,1514.01340804369,88900.3333333333,11,367,6261,22423,0.64,1705829,16
"성동구","금호4가동",5423,16938,1514.01340804369,21471.6666666667,14,155,4525,14228,0.84,4919775,16
"성동구","마장동",8796,21625,1514.01340804369,36168,71,210,8577,22706,1.05,3871594,16
"성동구","사근동",7355,12802,1514.01340804369,22448.1666666667,22,101,2250,14082,1.1,6079167,16
"성동구","성수1가1동",7635,8328,1514.01340804369,14273.8333333333,16,74,10397,16407,1.97,4027258,16
"성동구","성수1가2동",9712,13845,1514.01340804369,47656.6666666667,63,136,6759,12322,0.89,8214983,16
"성동구","성수2가1동",8387,13432,1514.01340804369,36737.5,89,147,7981,15716,1.17,1970081,16
"성동구","성수2가3동",16697,10214,1514.01340804369,46921.6666666667,227,106,6981,10520,1.03,13603249,16
"성동구","송정동",3118,13952,1275.93929398148,50595.3333333333,21,183,2781,10464,0.75,1037903,16
"성동구","옥수동",10683,13321,1729.74263707391,22322.5,39,217,8857,25843,1.94,5533032,16
"성동구","왕십리2동",5044,40702,1514.01340804369,109563,33,449,4485,16688,0.41,5939436,16
"성동구","왕십리도선동",13447,37365,1514.01340804369,72979,83,377,8066,26903,0.72,2567734,16
"성동구","용답동",6002,5433,1536.35829307568,13090,20,50,7795,12551,2.31,13948519,16
"성동구","응봉동",3151,26491,1514.01340804369,47575.1666666667,31,288,4547,15100,0.57,1604900,16
"성동구","행당1동",7516,23722,1514.01340804369,66775.8333333333,42,250,4222,13996,0.59,14465722,16
"성동구","행당2동",9357,55114,1514.01340804369,87044.1666666667,6,526,6717,23148,0.42,4399100,16
"성북구","길음1동",13513,44304,1551.26909871986,80418.5,79,447,10746,35000,0.79,12245019,17
"성북구","길음2동",12483,37462,1551.26909871986,93241.8333333333,10,309,6447,21728,0.58,3612474,17
"성북구","돈암1동",5809,29539,1105.86365223464,47998.8333333333,50,327,4161,14474,0.49,4754964,17
"성북구","돈암2동",9912,49285,1551.26909871986,68755.3333333333,19,448,7574,23657,0.48,1817854,17
"성북구","동선동",6177,21740,1551.26909871986,102189.166666667,184,216,3419,15870,0.73,6018133,17
"성북구","보문동",3535,29843,1551.26909871986,82708,126,286,4588,16712,0.56,4787261,17
"성북구","삼선동",8283,25048,1551.26909871986,83154.1666666667,72,281,5773,23044,0.92,19056839,17
"성북구","석관동",9890,20413,1551.26909871986,44393.3333333333,21,201,9752,35315,1.73,10262135,17
"성북구","성북동",5775,5905,207.937832607644,6468.5,71,42,4781,16889,2.86,4825402,17
"성북구","안암동",7994,12871,1551.26909871986,39174,36,115,3092,17118,1.33,6713695,17
"성북구","월곡1동",9587,32307,1551.26909871986,71833.8333333333,30,317,7481,26169,0.81,3689200,17
"성북구","월곡2동",8437,14514,1368.48476454294,45627.3333333333,36,151,5277,19739,1.36,7951954,17
"성북구","장위1동",4431,34403,1551.26909871986,125629,19,283,6535,24082,0.7,3009859,17
