구별,동별,연도,면적
동대문구,장안1동,2019,1.25
동대문구,장안1동,2020,1.25
동대문구,장안1동,2021,1.25
동대문구,장안1동,2022,1.25
동대문구,장안2동,2018,1.09
동대문구,장안2동,2019,1.09
동대문구,장안2동,2020,1.09
동대문구,장안2동,2021,1.09
동대문구,장안2동,2022,1.09
동대문구,전농1동,2018,1.19
동대문구,전농1동,2019,1.19
동대문구,전농1동,2020,1.19
동대문구,전농1동,2021,1.19
동대문구,전농1동,2022,1.19
동대문구,전농2동,2018,0.86
동대문구,전농2동,2019,0.86
동대문구,전농2동,2020,0.86
동대문구,전농2동,2021,0.86
동대문구,전농2동,2022,0.86
동대문구,제기동,2018,1.18
동대문구,제기동,2019,1.18
동대문구,제기동,2020,1.18
동대문구,제기동,2021,1.18
동대문구,제기동,2022,1.18
동대문구,청량리동,2018,1.2
동대문구,청량리동,2019,1.2
동대문구,청량리동,2020,1.2
동대문구,청량리동,2021,1.2
동대문구,청량리동,2022,1.2
동대문구,회기동,2018,0.76
동대문구,회기동,2019,0.76
동대문구,회기동,2020,0.76
동대문구,회기동,2021,0.76
동대문구,회기동,2022,0.76
동대문구,휘경1동,2018,0.63
동대문구,휘경1동,2019,0.63
동대문구,휘경1동,2020,0.63
동대문구,휘경1동,2021,0.63
동대문구,휘경1동,2022,0.63
동대문구,휘경2동,2018,1.05
동대문구,휘경2동,2019,1.05
동대문구,휘경2동,2020,1.05
동대문구,휘경2동,2021,1.05
동대문구,휘경2동,2022,1.05
동작구,노량진1동,2018,1.58
동작구,노량진1동,2019,1.58
동작구,노량진1동,2020,1.58
동작구,노량진1동,2021,1.58
동작구,노량진1동,2022,1.58
동작구,노량진2동,2018,0.64
동작구,노량진2동,2019,0.64
동작구,노량진2동,2020,0.64
동작구,노량진2동,2021,0.64
동작구,노량진2동,2022,0.64
동작구,대방동,2018,1.55
동작구,대방동,2019,1.55
동작구,대방동,2020,1.55
동작구,대방동,2021,1.55
동작구,대방동,2022,1.55
동작구,사당1동,2018,0.79
동작구,사당1동,2019,0.79
동작구,사당1동,2020,0.79
동작구,사당1동,2021,0.79
동작구,사당1동,2022,0.79
동작구,사당2동,2018,2.75
동작구,사당2동,2019,2.75
동작구,사당2동,2020,2.75
동작구,사당2동,2021,2.75
동작구,사당2동,2022,2.75
동작구,사당3동,2018,0.92
동작구,사당3동,2019,0.92
동작구,사당3동,2020,0.92
동작구,사당3동,2021,0.92
동작구,사당3동,2022,0.92
동작구,사당4동,2018,0.38
동작구,사당4동,2019,0.38
동작구,사당4동,2020,0.38
동작구,사당4동,2021,0.38
동작구,사당4동,2022,0.38
동작구,사당5동,2018,0.57
동작구,사당5동,2019,0.57
동작구,사당5동,2020,0.57
동작구,사당5동,2021,0.57
동작구,사당5동,2022,0.57
동작구,상도1동,2018,1.51
동작구,상도1동,2019,1.51
동작구,상도1동,2020,1.51
동작구,상도1동,2021,1.51
동작구,상도1동,2022,1.51
동작구,상도2동,2018,0.98
동작구,상도2동,2019,0.98
