,Unnamed: 0,구별,동별,연도,주민인구
1714,1714,서초구,서초1동,2022,20622
1719,1719,서초구,서초2동,2022,26932
1724,1724,서초구,서초3동,2022,32379
1729,1729,서초구,서초4동,2022,30521
1734,1734,서초구,잠원동,2022,26393
1739,1739,서초구,반포본동,2022,292
1744,1744,서초구,반포1동,2022,34443
1749,1749,서초구,반포2동,2022,15742
1754,1754,서초구,반포3동,2022,22773
1759,1759,서초구,반포4동,2022,19486
1764,1764,서초구,방배본동,2022,20778
1769,1769,서초구,방배1동,2022,16883
1774,1774,서초구,방배2동,2022,18553
1779,1779,서초구,방배3동,2022,17321
1784,1784,서초구,방배4동,2022,23429
1789,1789,서초구,양재1동,2022,42683
1794,1794,서초구,양재2동,2022,21766
1799,1799,서초구,내곡동,2022,17455
1804,1804,강남구,신사동,2022,15876
1814,1814,강남구,논현1동,2022,22080
1819,1819,강남구,논현2동,2022,20814
1824,1824,강남구,삼성1동,2022,12739
1829,1829,강남구,삼성2동,2022,31062
1834,1834,강남구,대치1동,2022,23846
1839,1839,강남구,대치4동,2022,19491
1844,1844,강남구,역삼1동,2022,35556
1849,1849,강남구,역삼2동,2022,37269
1854,1854,강남구,도곡1동,2022,21274
1859,1859,강남구,도곡2동,2022,32846
1864,1864,강남구,개포1동,2022,6922
1869,1869,강남구,개포4동,2022,23639
1874,1874,강남구,일원본동,2022,23015
1879,1879,강남구,일원1동,2022,14987
1884,1884,강남구,일원2동,2022,0
1889,1889,강남구,수서동,2022,14402
1894,1894,강남구,세곡동,2022,43382
1899,1899,강남구,압구정동,2022,25902
1904,1904,강남구,청담동,2022,25489
1909,1909,강남구,대치2동,2022,37098
1914,1914,강남구,개포2동,2022,29032
1924,1924,송파구,풍납1동,2022,12910
1929,1929,송파구,풍납2동,2022,24426
1934,1934,송파구,거여1동,2022,12255
1939,1939,송파구,거여2동,2022,23745
1944,1944,송파구,마천1동,2022,18618
1949,1949,송파구,마천2동,2022,18150
1954,1954,송파구,방이1동,2022,15460
1959,1959,송파구,방이2동,2022,26354
1964,1964,송파구,오륜동,2022,17804
1969,1969,송파구,오금동,2022,38037
1974,1974,송파구,송파1동,2022,24008
1979,1979,송파구,송파2동,2022,18947
1984,1984,송파구,석촌동,2022,31602
1989,1989,송파구,삼전동,2022,29912
1994,1994,송파구,가락본동,2022,25883
