"시점","동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"2018","합계",동작구,상도3동,26181,0.60,43635
"2018","합계",동작구,상도4동,30264,0.75,40352
"2018","합계",동작구,사당1동,24064,0.79,30461
"2018","합계",동작구,사당3동,26762,0.92,29089
"2018","합계",동작구,사당4동,15091,0.38,39713
"2018","합계",동작구,사당5동,13207,0.57,23170
"2018","합계",동작구,대방동,40360,1.55,26039
"2018","합계",동작구,신대방1동,27214,0.62,43894
"2018","합계",동작구,신대방2동,21076,1.03,20462
"2018","합계",동작구,흑석동,33231,1.68,19780
"2018","합계",동작구,노량진1동,32802,1.58,20761
"2018","합계",동작구,사당2동,28742,2.75,10452
"2018","합계",관악구,소계,520040,29.57,17587
"2018","합계",관악구,보라매동,26398,0.76,34734
"2018","합계",관악구,청림동,16527,0.30,55090
"2018","합계",관악구,행운동,30438,0.72,42275
"2018","합계",관악구,낙성대동,17780,2.27,7833
"2018","합계",관악구,중앙동,15716,0.39,40297
"2018","합계",관악구,인헌동,27293,1.08,25271
"2018","합계",관악구,남현동,18998,3.27,5810
"2018","합계",관악구,서원동,23933,0.65,36820
"2018","합계",관악구,신원동,20119,0.55,36580
"2018","합계",관악구,서림동,24881,0.99,25132
"2018","합계",관악구,신사동,26442,0.64,41316
"2018","합계",관악구,신림동,22256,0.54,41215
"2018","합계",관악구,난향동,16693,0.80,20866
"2018","합계",관악구,조원동,19824,0.67,29588
"2018","합계",관악구,대학동,24823,8.30,2991
"2018","합계",관악구,은천동,35797,0.78,45894
"2018","합계",관악구,성현동,33033,0.68,48578
"2018","합계",관악구,청룡동,30242,1.18,25629
"2018","합계",관악구,난곡동,29484,0.96,30713
"2018","합계",관악구,삼성동,26068,2.66,9800
"2018","합계",관악구,미성동,33295,1.38,24127
"2018","합계",서초구,소계,438163,46.98,9326
"2018","합계",서초구,서초1동,21574,1.42,15193
"2018","합계",서초구,서초2동,18506,1.24,14924
"2018","합계",서초구,서초3동,30754,2.93,10496
"2018","합계",서초구,서초4동,31817,0.88,36156
"2018","합계",서초구,잠원동,34962,1.76,19865
"2018","합계",서초구,반포본동,12583,1.01,12458
"2018","합계",서초구,반포1동,32109,1.00,32109
"2018","합계",서초구,반포2동,16761,1.35,12416
"2018","합계",서초구,반포3동,20434,1.28,15964
"2018","합계",서초구,반포4동,20600,1.43,14406
"2018","합계",서초구,방배본동,21746,0.67,32457
"2018","합계",서초구,방배1동,17683,0.70,25261
"2018","합계",서초구,방배2동,22491,1.93,11653
"2018","합계",서초구,방배3동,22268,2.40,9278
