,연도,구별,동별,면적
82,2018,광진구,자양1동,0.57
83,2018,광진구,자양2동,1.68
84,2018,광진구,자양3동,1.2
85,2018,광진구,자양4동,1.16
87,2018,동대문구,회기동,0.76
88,2018,동대문구,휘경1동,0.63
89,2018,동대문구,휘경2동,1.05
90,2018,동대문구,청량리동,1.2
91,2018,동대문구,용신동,1.61
92,2018,동대문구,제기동,1.18
93,2018,동대문구,전농1동,1.19
94,2018,동대문구,전농2동,0.86
95,2018,동대문구,답십리2동,0.85
96,2018,동대문구,장안1동,1.25
97,2018,동대문구,장안2동,1.09
98,2018,동대문구,이문1동,1.04
99,2018,동대문구,이문2동,0.69
100,2018,동대문구,답십리1동,0.81
102,2018,중랑구,면목2동,0.73
103,2018,중랑구,면목4동,1.11
104,2018,중랑구,면목5동,0.64
105,2018,중랑구,면목7동,0.87
106,2018,중랑구,상봉1동,0.85
107,2018,중랑구,상봉2동,0.68
108,2018,중랑구,중화1동,0.68
109,2018,중랑구,중화2동,0.98
110,2018,중랑구,묵1동,1.2
111,2018,중랑구,묵2동,0.7
112,2018,중랑구,망우3동,0.99
113,2018,중랑구,신내1동,2.53
114,2018,중랑구,신내2동,0.99
115,2018,중랑구,면목본동,1.01
116,2018,중랑구,면목3.8동,1.67
117,2018,중랑구,망우본동,2.88
119,2018,성북구,돈암1동,0.49
120,2018,성북구,돈암2동,0.48
121,2018,성북구,안암동,1.33
122,2018,성북구,보문동,0.56
123,2018,성북구,정릉1동,0.44
124,2018,성북구,정릉2동,1.17
125,2018,성북구,정릉3동,3.71
126,2018,성북구,정릉4동,3.13
127,2018,성북구,길음1동,0.79
128,2018,성북구,길음2동,0.58
129,2018,성북구,월곡1동,0.81
130,2018,성북구,월곡2동,1.36
131,2018,성북구,장위1동,0.7
132,2018,성북구,장위2동,0.67
133,2018,성북구,장위3동,0.65
134,2018,성북구,성북동,2.86
135,2018,성북구,삼선동,0.92
136,2018,성북구,동선동,0.73
137,2018,성북구,종암동,1.46
138,2018,성북구,석관동,1.73
140,2018,강북구,번1동,0.55
141,2018,강북구,번2동,1.25
142,2018,강북구,번3동,0.86
143,2018,강북구,수유1동,1.07
144,2018,강북구,수유2동,0.73
145,2018,강북구,수유3동,0.86
146,2018,강북구,삼양동,0.95
147,2018,강북구,미아동,0.73
148,2018,강북구,송중동,1.22
149,2018,강북구,송천동,0.88
150,2018,강북구,삼각산동,0.62
151,2018,강북구,우이동,10.95
152,2018,강북구,인수동,2.93
154,2018,도봉구,쌍문1동,1.24
155,2018,도봉구,쌍문2동,0.54
156,2018,도봉구,쌍문3동,0.5
157,2018,도봉구,쌍문4동,0.52
158,2018,도봉구,방학1동,0.69
159,2018,도봉구,방학2동,0.74
160,2018,도봉구,방학3동,2.64
161,2018,도봉구,창1동,0.88
162,2018,도봉구,창2동,1.07
163,2018,도봉구,창3동,0.67
164,2018,도봉구,창4동,0.96
165,2018,도봉구,창5동,0.7
166,2018,도봉구,도봉1동,8.72
167,2018,도봉구,도봉2동,0.83
169,2018,노원구,월계1동,1.16
170,2018,노원구,월계2동,1.94
171,2018,노원구,월계3동,1.17
172,2018,노원구,공릉2동,6.82
173,2018,노원구,하계1동,1.55
174,2018,노원구,하계2동,0.51
175,2018,노원구,중계본동,1.97
176,2018,노원구,중계1동,0.63
177,2018,노원구,중계4동,1.7
178,2018,노원구,상계1동,5.62
179,2018,노원구,상계2동,0.61
180,2018,노원구,상계5동,1.01
181,2018,노원구,상계8동,0.67
182,2018,노원구,상계9동,0.81
183,2018,노원구,상계10동,0.8
184,2018,노원구,상계3.4동,5.05
185,2018,노원구,상계6.7동,1.11
186,2018,노원구,중계2.3동,0.9
187,2018,노원구,공릉1동,1.41
189,2018,은평구,녹번동,1.79
190,2018,은평구,불광1동,3.13
191,2018,은평구,갈현1동,0.97
192,2018,은평구,갈현2동,0.96
193,2018,은평구,구산동,1.38
194,2018,은평구,대조동,0.85
195,2018,은평구,응암1동,1.2
196,2018,은평구,응암2동,0.78
197,2018,은평구,신사1동,0.84
198,2018,은평구,신사2동,1.0
199,2018,은평구,증산동,0.81
200,2018,은평구,수색동,1.29
201,2018,은평구,진관동,11.53
202,2018,은평구,불광2동,1.38
203,2018,은평구,응암3동,0.63
204,2018,은평구,역촌동,1.16
206,2018,서대문구,천연동,0.97
207,2018,서대문구,홍제1동,1.23
208,2018,서대문구,홍제3동,0.81
209,2018,서대문구,홍제2동,1.05
210,2018,서대문구,홍은1동,1.58
211,2018,서대문구,홍은2동,2.06
212,2018,서대문구,남가좌1동,0.51
213,2018,서대문구,남가좌2동,0.77
214,2018,서대문구,북가좌1동,0.52
215,2018,서대문구,북가좌2동,0.84
216,2018,서대문구,충현동,1.12
217,2018,서대문구,북아현동,0.46
218,2018,서대문구,신촌동,2.63
219,2018,서대문구,연희동,3.05
221,2018,마포구,용강동,0.84
222,2018,마포구,대흥동,0.88
223,2018,마포구,염리동,0.43
224,2018,마포구,신수동,0.78
225,2018,마포구,서교동,1.65
226,2018,마포구,합정동,1.72
227,2018,마포구,망원1동,1.13
228,2018,마포구,망원2동,0.67
229,2018,마포구,연남동,0.64
230,2018,마포구,성산1동,0.8
231,2018,마포구,성산2동,2.07
232,2018,마포구,상암동,8.4
233,2018,마포구,도화동,0.62
234,2018,마포구,서강동,1.45
235,2018,마포구,공덕동,1.01
236,2018,마포구,아현동,0.76
238,2018,양천구,목1동,1.41
239,2018,양천구,목2동,1.03
240,2018,양천구,목3동,0.53
241,2018,양천구,목4동,0.57
242,2018,양천구,신월1동,0.65
243,2018,양천구,신월2동,0.61
244,2018,양천구,신월3동,0.87
245,2018,양천구,신월4동,0.52
246,2018,양천구,신월5동,0.69
247,2018,양천구,신월6동,0.41
248,2018,양천구,신월7동,1.19
249,2018,양천구,신정1동,0.7
250,2018,양천구,신정2동,0.52
251,2018,양천구,신정3동,2.72
252,2018,양천구,신정6동,0.96
253,2018,양천구,신정7동,1.21
254,2018,양천구,목5동,1.81
255,2018,양천구,신정4동,1.01
257,2018,강서구,염창동,1.74
258,2018,강서구,등촌1동,0.59
259,2018,강서구,등촌2동,0.92
260,2018,강서구,등촌3동,0.79
261,2018,강서구,화곡본동,1.11
262,2018,강서구,화곡2동,0.47
263,2018,강서구,화곡3동,0.51
264,2018,강서구,화곡4동,0.82
265,2018,강서구,화곡6동,1.12
266,2018,강서구,화곡8동,0.53
267,2018,강서구,가양1동,4.7
268,2018,강서구,가양2동,1.0
269,2018,강서구,가양3동,0.99
270,2018,강서구,발산1동,2.96
271,2018,강서구,공항동,10.87
272,2018,강서구,방화1동,1.04
273,2018,강서구,방화2동,6.41
274,2018,강서구,방화3동,2.38
