,구별,동별,승객수
279,성북구,정릉4동,6229068.0
280,성북구,종암동,6206689.0
281,송파구,가락1동,10573114.0
282,송파구,가락2동,6498510.0
283,송파구,가락본동,3113688.0
284,송파구,거여1동,4147125.0
285,송파구,거여2동,1028052.0
286,송파구,마천1동,3500957.0
287,송파구,마천2동,2164334.0
288,송파구,문정1동,1475133.0
289,송파구,문정2동,12266488.0
290,송파구,방이1동,3503517.0
291,송파구,방이2동,4075700.0
292,송파구,삼전동,2522653.0
293,송파구,석촌동,8639060.0
294,송파구,송파1동,5910500.0
295,송파구,송파2동,698002.0
296,송파구,오금동,6698509.0
297,송파구,오륜동,6746730.0
298,송파구,위례동,4349136.0
299,송파구,잠실2동,8541968.0
300,송파구,잠실3동,6101889.0
301,송파구,잠실4동,7189758.0
302,송파구,잠실6동,35291288.0
303,송파구,잠실7동,6847335.0
304,송파구,잠실본동,5791010.0
305,송파구,장지동,9109368.0
306,송파구,풍납1동,1195931.0
307,송파구,풍납2동,2246987.0
308,양천구,목1동,19408431.0
309,양천구,목2동,9173258.0
310,양천구,목3동,6760337.0
311,양천구,목4동,3078587.0
312,양천구,목5동,4768921.0
313,양천구,신월1동,1504809.0
314,양천구,신월2동,2256141.0
315,양천구,신월3동,1157587.0
316,양천구,신월4동,1959288.0
317,양천구,신월5동,1404231.0
318,양천구,신월6동,1713914.0
319,양천구,신월7동,2006710.0
320,양천구,신정1동,2011525.0
321,양천구,신정2동,1073760.0
322,양천구,신정3동,9014638.0
323,양천구,신정4동,9478419.0
324,양천구,신정6동,1813648.0
325,양천구,신정7동,3879820.0
326,영등포구,당산1동,10577106.0
327,영등포구,당산2동,18035045.0
328,영등포구,대림1동,1774035.0
329,영등포구,대림2동,1550447.0
330,영등포구,대림3동,12904872.0
331,영등포구,도림동,1666467.0
332,영등포구,문래동,10610135.0
333,영등포구,신길1동,6201836.0
334,영등포구,신길3동,2137136.0
335,영등포구,신길4동,1275887.0
336,영등포구,신길5동,1411196.0
337,영등포구,신길6동,6202053.0
338,영등포구,신길7동,5144530.0
339,영등포구,양평1동,4121006.0
340,영등포구,양평2동,5762034.0
341,영등포구,여의동,44772559.0
342,영등포구,영등포동,16127480.0
343,영등포구,영등포본동,9090952.0
344,용산구,남영동,12656306.0
345,용산구,보광동,1904575.0
346,용산구,서빙고동,2733584.0
