,구,동,평균거주인구
250,강서구,화곡8동,467.83333333333337
251,강서구,가양1동,63.666666666666664
252,강서구,가양2동,160.16666666666669
253,강서구,가양3동,239.5
254,강서구,발산1동,129.83333333333334
255,강서구,우장산동,365.5
256,강서구,공항동,26.5
257,강서구,방화1동,325.0
258,강서구,방화2동,43.0
259,강서구,방화3동,128.33333333333334
260,구로구,신도림동,274.5
261,구로구,구로1동,216.5
262,구로구,구로2동,147.5
263,구로구,구로3동,244.33333333333331
264,구로구,구로4동,412.83333333333337
265,구로구,구로5동,284.5
266,구로구,가리봉동,244.33333333333331
267,구로구,고척1동,221.33333333333331
268,구로구,고척2동,287.33333333333337
269,구로구,개봉1동,287.0
270,구로구,개봉2동,397.16666666666663
271,구로구,개봉3동,274.0
272,구로구,오류1동,304.16666666666663
273,구로구,오류2동,102.83333333333334
274,구로구,수궁동,94.0
275,금천구,가산동,87.33333333333334
276,금천구,독산1동,186.83333333333331
277,금천구,독산2동,347.16666666666663
278,금천구,독산3동,263.0
279,금천구,독산4동,276.66666666666663
280,금천구,시흥1동,244.66666666666669
281,금천구,시흥2동,200.16666666666669
282,금천구,시흥3동,87.83333333333334
283,금천구,시흥4동,274.5
284,금천구,시흥5동,137.33333333333331
285,영등포구,영등포본동,282.83333333333337
286,영등포구,영등포동,161.66666666666669
287,영등포구,여의동,49.5
288,영등포구,당산1동,277.66666666666663
289,영등포구,당산2동,228.0
290,영등포구,도림동,354.33333333333337
291,영등포구,문래동,182.5
292,영등포구,양평1동,196.83333333333331
293,영등포구,양평2동,87.66666666666666
294,영등포구,신길1동,237.0
295,영등포구,신길3동,313.0
296,영등포구,신길4동,324.66666666666663
297,영등포구,신길5동,223.16666666666669
298,영등포구,신길6동,270.66666666666663
299,영등포구,신길7동,261.5
300,영등포구,대림1동,275.0
301,영등포구,대림2동,225.83333333333331
302,영등포구,대림3동,266.83333333333337
303,동작구,노량진1동,172.33333333333331
304,동작구,노량진2동,237.33333333333331
305,동작구,상도1동,312.33333333333337
306,동작구,상도2동,334.83333333333337
307,동작구,상도3동,390.0
308,동작구,상도4동,314.33333333333337
309,동작구,흑석동,150.0
310,동작구,사당1동,365.5
311,동작구,사당2동,92.16666666666666
312,동작구,사당3동,273.83333333333337
313,동작구,사당4동,334.33333333333337
314,동작구,사당5동,196.33333333333331
315,동작구,대방동,251.83333333333331
316,동작구,신대방1동,357.16666666666663
317,동작구,신대방2동,208.66666666666669
318,관악구,보라매동,324.33333333333337
319,관악구,청림동,560.0
