,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
106,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
107,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
108,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
109,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
110,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
111,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
112,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
113,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
114,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
115,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
116,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
117,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
118,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
119,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
120,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
121,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
122,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
123,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
124,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
125,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
126,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
127,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
128,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
129,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
130,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
131,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
132,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
133,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
134,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
135,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
136,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
137,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
138,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
139,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
140,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
141,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
142,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
143,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
144,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
145,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
146,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
147,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
148,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
149,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
150,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
151,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
152,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
153,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
154,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
155,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
156,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
157,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
158,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
159,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
160,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
161,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
162,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
163,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
164,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
165,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
166,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
167,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
168,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
169,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
170,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
171,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
172,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
173,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
174,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
175,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
