연번,수신일시,현재주차차량수
173750,2021-11-10 00:00:19,17
1892075,2021-11-10 00:00:19,148
173359,2021-11-10 00:00:19,35
1042402,2021-11-10 00:00:19,34
689611,2021-11-10 00:00:19,132
1033754,2021-11-10 00:00:19,73
744921,2021-11-10 00:00:19,115
1042406,2021-11-10 00:00:19,7
173437,2021-11-10 00:00:19,170
1033125,2021-11-10 00:00:19,4
1364468,2021-11-10 00:00:19,142
173534,2021-11-10 00:00:19,21
1441342,2021-11-10 00:00:19,73
173468,2021-11-10 00:00:19,113
1042410,2021-11-10 00:00:19,76
1364466,2021-11-10 00:00:19,22
1042405,2021-11-10 00:00:19,67
1042421,2021-11-10 00:00:19,56
766536,2021-11-10 00:00:19,58
984489,2021-11-10 00:00:19,26
737803,2021-11-10 00:00:19,196
812056,2021-11-10 00:00:19,26
673195,2021-11-10 00:00:19,50
1364472,2021-11-10 00:00:19,86
173874,2021-11-10 00:00:20,147
1247675,2021-11-10 00:00:20,93
869620,2021-11-10 00:00:20,133
173686,2021-11-10 00:00:20,152
173740,2021-11-10 00:00:20,145
1370100,2021-11-10 00:00:20,46
173750,2021-11-10 00:00:20,159
173591,2021-11-10 00:00:20,130
984617,2021-11-10 00:00:20,27
795976,2021-11-10 00:00:20,72
862823,2021-11-10 00:00:20,12
173440,2021-11-10 00:00:20,20
173499,2021-11-10 00:00:20,2
173389,2021-11-10 00:00:20,0
767065,2021-11-10 00:00:20,0
173474,2021-11-10 00:00:20,28
173810,2021-11-10 00:00:20,13
673439,2021-11-10 00:00:20,0
1441360,2021-11-10 00:00:20,56
739990,2021-11-10 00:00:20,0
885057,2021-11-10 00:00:20,10
769289,2021-11-10 00:00:20,1
739989,2021-11-10 00:00:20,398
688450,2021-11-10 00:00:20,99
773255,2021-11-10 00:00:20,3
1910254,2021-11-10 00:00:20,585
690231,2021-11-10 00:00:20,191
1428079,2021-11-10 00:00:20,39
761224,2021-11-10 00:00:20,0
173184,2021-11-10 00:00:20,13
816771,2021-11-10 00:00:20,3
1425290,2021-11-10 00:00:20,9
1056837,2021-11-10 00:00:20,10
172912,2021-11-10 00:00:20,34
1247678,2021-11-10 00:00:20,146
788447,2021-11-10 00:00:20,268
744925,2021-11-10 00:00:20,185
1585128,2021-11-10 00:00:20,14
808595,2021-11-10 00:00:20,46
990163,2021-11-10 00:00:20,41
899187,2021-11-10 00:00:20,72
173754,2021-11-10 00:00:20,0
1434455,2021-11-10 00:00:20,48
173776,2021-11-10 00:00:20,6
173885,2021-11-10 00:00:20,80
897368,2021-11-10 00:00:20,0
1583339,2021-11-10 00:00:20,1
1910611,2021-11-10 00:00:20,1
173447,2021-11-10 00:00:20,10
1040225,2021-11-10 00:00:20,29
1441370,2021-11-10 00:00:20,0
817981,2021-11-10 00:00:20,0
1580685,2021-11-10 00:00:20,70
1581248,2021-11-10 00:00:20,21
1581443,2021-11-10 00:00:20,81
744920,2021-11-10 00:00:20,105
