역명,승차총승객수,하차총승객수
마들,5163,5126
수락산,5660,5453
도봉산,3393,5082
장암,726,529
봉화산(서울의료원),2943,2985
화랑대(서울여대입구),3640,3191
태릉입구,2249,2439
석계,5057,5057
돌곶이,3505,3169
상월곡(한국과학기술연구원),2265,1980
월곡(동덕여대),4090,4232
고려대(종암),2874,2802
안암(고대병원앞),3170,3182
보문,2841,2727
창신,1309,1104
동묘앞,4065,3980
신당,3539,3001
청구,1258,1237
약수,1197,1206
버티고개,782,870
한강진,5417,6074
이태원,7952,7914
녹사평(용산구청),2710,2610
삼각지,2519,1941
효창공원앞,2388,2105
공덕,5045,4766
대흥(서강대앞),2752,2770
광흥창(서강),2822,2715
상수,4796,5142
합정,6695,6122
망원,7118,7554
마포구청,5295,4801
월드컵경기장(성산),2867,2883
디지털미디어시티,3843,3953
증산(명지대앞),4364,4537
새절(신사),4975,5010
구산,2969,2258
독바위,1225,1442
불광,2301,2062
역촌,1514,1880
응암,7342,7591
하남검단산,3509,3422
하남시청(덕풍·신장),3074,2964
하남풍산,1684,1772
미사,6848,6830
강일,1527,1558
마천,2732,2942
거여,3095,3109
개롱,2085,2304
오금,1080,1041
방이,2789,2757
올림픽공원(한국체대),2184,2150
둔촌동,3208,3233
상일동,4982,4848
고덕,3515,3454
명일,3191,3429
굽은다리(강동구민회관앞),4329,4090
길동,3397,3534
강동,6644,6329
천호(풍납토성),9009,8308
광나루(장신대),5727,5762
아차산(어린이대공원후문),9533,9281
군자(능동),4671,5286
장한평,5610,5604
답십리,5872,5566
마장,2302,2166
왕십리(성동구청),2005,2381
행당,2816,2563
신금호,2302,2414
청구,1437,1325
동대문역사문화공원(DDP),672,778
을지로4가,1163,1289
종로3가,7197,6625
광화문(세종문화회관),8245,7887
서대문,3995,3793
충정로(경기대입구),1029,980
애오개,1995,1911
공덕,3249,3303
마포,3732,3718
여의나루,3296,3376
여의도,4712,5120
신길,1375,1483
영등포시장,3730,3872
영등포구청,986,907
양평,1828,1869
오목교(목동운동장앞),7333,7737
목동,5641,5864
신정(은행정),4971,4549
까치산,12401,12296
화곡,11204,10584
우장산,4987,5287
발산,7230,7644
마곡,2606,2607
송정,3160,2982
김포공항,5736,5212
개화산,2253,2366
방화,2873,2870
쌍문,11661,11083
창동,11195,12193
노원,9287,10239
상계,8017,7693
당고개,5762,5674
남태령,437,372
사당,10613,9321
총신대입구(이수),7163,7857
동작(현충원),766,802
이촌(국립중앙박물관),2154,2461
신용산,5930,6093
삼각지,1657,2037
충정로(경기대입구),2661,2761
용답,1334,1385
신답,512,551
신설동,1801,1806
도림천,332,348
양천구청,2299,2518
신정네거리,3834,4073
용두(동대문구청),889,882
지축,1580,1532
구파발,8761,9006
연신내,16671,15993
불광,7261,8298
녹번,5319,4904
홍제,7002,6640
무악재,1416,1550
독립문,3120,3377
경복궁(정부서울청사),7916,8217
안국,6901,7218
종로3가,3034,4181
을지로3가,2345,2163
동대입구,3319,3865
약수,4669,4528
금호,2920,2819
옥수,3543,3641
압구정,7726,7982
신사,9269,9133
잠원,1488,1587
고속터미널,21392,21318
교대(법원.검찰청),2419,1533
남부터미널(예술의전당),8813,8988
양재(서초구청),8646,9105
매봉,2829,2774
도곡,1330,1263
대치,4906,5067
숙대입구(갈월),4439,4172
서울역,3123,6657
회현(남대문시장),6552,7068
명동,12174,12386
충무로,6117,5834
동대문역사문화공원(DDP),6641,5631
동대문,4370,4250
혜화,16405,16577
한성대입구(삼선교),5709,5507
성신여대입구(돈암),9522,9234
길음,7240,7189
미아사거리,11557,11381
미아(서울사이버대학),5820,5523
수유(강북구청),15534,15487
오금,1789,1782
경찰병원,2071,2017
가락시장,2769,2734
노원,10630,11595
시청,4292,3507
청량리(서울시립대입구),10719,10816
제기동,7793,8559
신설동,5989,6218
종로5가,7065,7156
종로3가,11357,10036
종각,10056,8862
시청,5933,5744
동묘앞,10028,10292
서울역,26464,20031
신흥,2385,2611
동대문,7925,7654
지평,36,22
용문,1489,1064
원덕,266,200
양평,1772,1522
오빈,176,147
아신,362,320
국수,418,329
신원,137,103
양수,1210,1140
운길산,656,589
팔당,909,949
도심,1013,881
덕소,2794,2753
양정,345,287
도농,4316,4257
구리,6322,6649
양원,805,821
망우,3998,4088
상봉(시외버스터미널),3269,3309
중랑,2812,2804
회기,11714,12684
신창(순천향대),709,864
온양온천,2973,2960
배방,634,706
탕정,229,282
아산,3102,1797
쌍용(나사렛대),1021,983
봉명,439,443
대화,5218,4771
주엽,3930,3869
정발산,4426,4484
마두,2848,2806
백석,4966,4906
대곡,795,635
화정,8254,8554
원당,5141,5017
삼송,9297,9094
지축,1,0
원흥,4529,4442
신설동,1028,957
보문,810,823
성신여대입구(돈암),2015,2262
정릉,2259,2013
북한산보국문,3071,2933
솔샘,2444,2286
삼양사거리,1294,1316
삼양,1053,1049
화계,1813,1727
가오리,2048,1952
4.19민주묘지,1617,1422
솔밭공원,1250,1206
북한산우이,2398,2469
수리산,1707,1701
오이도,4978,4911
정왕,4372,4918
신길온천,991,896
안산,8478,7527
초지,2001,1852
고잔,3616,3179
중앙,10335,9847
한대앞,4433,4229
상록수,7844,7605
반월,2035,2075
대야미,2394,2096
산본,7632,6913
인천,940,1350
신포,1032,987
숭의,1781,1633
인하대,2630,2609
송도,1304,1315
연수,2541,2502
원인재,2575,2693
남동인더스파크,414,466
호구포,1681,1755
인천논현,2607,2802
소래포구,3674,3507
월곶,1497,1459
달월,33,36
사리,2336,1876
야목,173,144
어천,404,549
오목천,1263,1354
고색,1479,1583
매교,1181,1214
수원시청,6127,6320
매탄권선,2188,2179
망포,5471,6140
영통,4147,4351
청명,1723,1753
상갈,2507,2595
기흥,4334,4047
신갈,1669,1739
구성,2122,2214
죽전,7083,8152
보정,1000,965
이매,2819,2981
오리,4600,4018
미금,6679,7192
정자,6446,6937
수내,5245,5244
서현,13629,13575
야탑,12108,11987
모란,9397,9996
태평,6910,6727
가천대,2683,3491
선정릉,1515,1666
강남구청,2477,2897
압구정로데오,8748,9297
서울숲,3821,3894
수원,5264,4461
수서,8247,6553
대모산입구,1722,1658
개포동,1563,1573
구룡,593,726
도곡,2245,2214
한티,7690,7513
선릉,2172,3237
범계,12791,12319
평촌,5144,5031
인덕원,9002,9295
정부과천청사,3476,3691
과천,2880,2769
대공원,2675,2790
경마공원,560,521
선바위,2868,2681
영종,2032,1896
인천공항2터미널,1791,1714
인천공항1터미널,3129,3391
공항화물청사,887,926
운서,4037,4513
청라국제도시,2640,2440
검암,3023,2966
계양,4421,4159
김포공항,10988,5498
마곡나루(서울식물원),1673,1976
디지털미디어시티,2741,2965
홍대입구,8011,7906
공덕,933,1293
서울역,7609,5335
춘천,1174,952
남춘천,2315,2209
김유정,292,243
강촌,409,343
백양리,234,167
굴봉산,120,164
가평,1277,955
상천,256,182
청평,1144,966
대성리,359,239
마석,1994,1943
천마산,927,917
평내호평,2856,2644
금곡,704,667
사릉,1329,1356
퇴계원,1729,1499
별내,1547,1514
갈매,1167,1047
신내,715,735
도화,2108,1959
중동,4264,3989
온수(성공회대입구),3014,2883
도원,1322,1328
간석,2806,2670
부개,4052,3840
소사,4246,3986
구일,2605,2624
인천,3053,2451
동인천,8117,7665
제물포,4641,4373
주안,9878,8635
동암,8331,8074
백운,3332,3209
부평,20403,20198
송내,10961,10437
부천,19755,19126
역곡,12503,12243
오류동,6108,5888
개봉,9742,9885
임진강,43,58
문산,3095,3127
파주,568,425
월롱,751,1798
금촌,3528,3759
금릉,2504,2506
운정,3145,3025
야당,4161,3933
탄현,3666,3353
일산,4011,3628
풍산,3052,2770
백마,2891,2756
곡산,240,223
능곡,1805,1781
행신,3825,3389
강매,1278,1206
화전,559,605
수색,701,831
디지털미디어시티,1088,1035
가좌,2182,2313
홍대입구,1329,1653
서강대,994,1113
공덕,1261,1147
효창공원앞,1096,1301
신촌,218,240
서울역,914,790
소요산,2820,2301
동두천,1068,1252
보산,980,1151
동두천중앙,1754,1608
지행,3703,3680
덕정,2802,3050
덕계,1496,1361
양주,4171,4007
녹양,2261,2092
가능,3229,3049
의정부,12496,12549
회룡,6390,6138
망월사,3655,3810
도봉산,6606,4567
도봉,2954,2799
방학,5070,4958
녹천,2185,1839
월계,3132,3031
광운대,3441,3578
석계,4167,4521
신이문,3898,3737
외대앞,3648,3950
청량리(서울시립대입구),13206,10555
왕십리(성동구청),8462,9540
응봉,824,797
옥수,74,17
한남,1549,1559
서빙고,1105,1194
