역명,승차총승객수,하차총승객수
서울역,12607,21288
회현(남대문시장),25557,27035
명동,21584,22586
충무로,27465,28997
동대문역사문화공원(DDP),15969,13823
동대문,20983,21050
혜화,36020,36204
한성대입구(삼선교),14090,13541
성신여대입구(돈암),21166,20546
길음,21851,20558
미아사거리,29107,28243
미아(서울사이버대학),15814,14914
수유(강북구청),35475,35922
쌍문,30094,27786
창동,27668,29107
노원,19944,23327
상계,20508,18738
당고개,9434,8404
오금,6803,6023
경찰병원,7957,7787
가락시장,10116,9638
수서,19995,19878
일원,11666,10948
대청,11428,10393
학여울,3605,3750
대치,12225,12209
도곡,5903,5932
매봉,13737,13102
양재(서초구청),41725,44344
남부터미널(예술의전당),33042,33755
교대(법원.검찰청),16369,10452
고속터미널,50468,53372
잠원,5331,5104
신사,32259,35535
압구정,36618,39581
옥수,9888,9923
금호,8600,7748
약수,14124,13759
동대입구,8332,8758
충무로,3,0
을지로3가,11762,12130
종로3가,11064,13310
안국,24770,25582
경복궁(정부서울청사),22831,22880
독립문,7456,7401
무악재,4293,4137
홍제,18473,17036
녹번,16609,14485
불광,16977,18094
연신내,38854,36442
구파발,22636,21874
지축,5746,5275
용두(동대문구청),2581,2559
신정네거리,11011,11357
양천구청,7437,7469
도림천,1546,1612
신설동,3886,3874
신답,1806,1938
용답,3018,2774
충정로(경기대입구),10572,11160
아현,11744,10844
이대,14522,14774
신촌,39267,39752
홍대입구,64588,72684
합정,34727,38908
당산,19451,22998
영등포구청,23499,24379
신도림,52426,52173
대림(구로구청),25388,25957
구로디지털단지,64495,64085
신대방,27488,26254
신림,63732,61459
봉천,26036,23204
서울대입구(관악구청),51707,49630
낙성대(강감찬),30471,28015
사당,43860,48382
방배,17509,18283
서초,23439,22373
교대(법원.검찰청),37640,43016
강남,96077,95228
역삼,55656,63239
선릉,62845,55373
삼성(무역센터),65316,65835
종합운동장,13352,14616
잠실새내,24367,24923
잠실(송파구청),81182,81096
잠실나루,16068,15282
강변(동서울터미널),35438,35148
구의(광진구청),25392,24725
건대입구,38776,43392
성수,40474,44913
뚝섬,24458,26195
한양대,9161,9666
왕십리(성동구청),18021,15515
상왕십리,15531,14900
신당,15134,15368
동대문역사문화공원(DDP),13811,15189
을지로4가,13817,13887
을지로3가,25492,26494
을지로입구,44742,46530
시청,25522,25145
동묘앞,8251,8626
청량리(서울시립대입구),20840,20906
제기동,17661,17919
신설동,14755,14044
동대문,11418,9930
종로5가,23758,24263
종로3가,28695,27060
종각,40341,40323
시청,25408,25658
서울역,53055,52623
문래,24072,24922
북한산우이,3906,4160
수리산,3123,2659
오이도,8269,8394
정왕,7208,7275
신길온천,1679,1608
안산,10398,10743
초지,3921,3712
고잔,6887,6849
중앙,17546,18571
한대앞,7638,7558
상록수,13391,12941
반월,3902,3680
대야미,4175,3746
산본,13790,14662
관악산(서울대),4418,4648
서울대벤처타운,5708,5094
서원,2298,1976
신림,1410,1909
당곡,3058,2670
보라매병원,2968,3011
보라매공원,1417,1419
보라매,2190,1963
서울지방병무청,1668,1770
대방,1794,1180
샛강,1099,1479
인천,1378,2238
신포,1578,1585
숭의,2911,2668
인하대,4589,4278
송도,2100,2037
연수,4334,4411
원인재,3870,4020
남동인더스파크,1044,984
호구포,2830,2603
인천논현,4814,4974
소래포구,5251,5198
월곶,2432,2325
달월,86,82
사리,4046,3300
야목,313,294
어천,951,805
오목천,2519,2007
고색,2793,2670
매교,2230,2182
수원시청,11722,13736
매탄권선,4096,3639
망포,10629,9581
영통,7479,7489
청명,3042,2992
상갈,4210,4102
기흥,7765,7268
신갈,3038,3016
구성,3789,3756
죽전,10784,12152
보정,1868,1643
이매,4352,4125
오리,8255,6686
미금,11495,11956
정자,11906,11800
수내,9822,9158
서현,21565,21745
야탑,18940,19874
모란,22656,23646
태평,11449,10752
가천대,5170,5627
선정릉,3373,3447
강남구청,5155,6141
압구정로데오,18583,22073
서울숲,9009,9519
수원,8437,6812
수서,11137,11543
대모산입구,3405,3170
개포동,3146,3011
구룡,1463,1279
도곡,5008,4548
한티,13381,12774
선릉,5689,8582
범계,22985,22768
평촌,9978,9745
인덕원,18264,18114
정부과천청사,7461,7178
과천,5567,5126
대공원,12398,14776
경마공원,13942,14013
선바위,6045,5318
영종,3532,3475
인천공항2터미널,3722,3335
인천공항1터미널,8006,7406
공항화물청사,1338,1359
운서,7277,7532
청라국제도시,4936,4769
검암,4992,5112
계양,8204,7505
김포공항,11829,5973
마곡나루(서울식물원),3309,3587
디지털미디어시티,6199,5665
홍대입구,15123,15393
공덕,1782,2791
서울역,9391,9401
춘천,2114,1954
남춘천,3149,3382
김유정,496,625
강촌,745,872
백양리,108,170
굴봉산,198,209
가평,3208,4472
상천,401,373
청평,2292,2703
대성리,1932,1669
마석,3575,3474
천마산,1462,1366
평내호평,4987,4851
금곡,1187,1086
사릉,1891,1801
퇴계원,2769,2416
별내,2508,2323
갈매,2148,1765
신내,1425,1374
도화,3455,3223
중동,7176,6492
온수(성공회대입구),5264,4803
도원,2347,2323
간석,4662,4441
부개,7092,6387
소사,7293,7226
구일,6801,6591
인천,5053,4214
동인천,12608,12537
제물포,8107,7457
주안,16906,15124
동암,13644,13665
백운,6011,5982
부평,31378,34501
송내,19916,19447
부천,30905,31781
역곡,21707,21013
오류동,9586,8472
개봉,17479,16469
임진강,75,60
문산,5912,5563
파주,1002,703
월롱,1975,1662
금촌,6208,5791
금릉,4279,4043
운정,5580,4902
야당,7273,7338
탄현,5992,5464
일산,6808,6360
풍산,4631,4387
백마,4824,4418
곡산,456,450
능곡,2978,2936
행신,5926,5884
강매,2200,1981
화전,1143,1000
수색,1678,1613
디지털미디어시티,2186,1981
가좌,4314,4043
홍대입구,2420,3125
서강대,1882,1792
공덕,3037,2331
효창공원앞,1830,1984
신촌,421,461
서울역,1470,1616
소요산,4965,4284
동두천,1930,2245
보산,1801,1718
동두천중앙,2774,2722
지행,6492,6311
덕정,4970,4447
덕계,2759,2474
양주,7194,6528
녹양,3733,3579
가능,5577,5243
의정부,19258,20595
회룡,10469,10241
망월사,6018,6109
도봉산,9074,6361
도봉,4869,4478
방학,8053,7562
창동,1,0
녹천,3524,2903
월계,4893,4447
광운대,5843,5704
석계,6940,7283
신이문,6509,5773
외대앞,6335,5916
청량리(서울시립대입구),18192,19219
왕십리(성동구청),14842,16987
응봉,1602,1296
옥수,49,33
한남,2896,2734
서빙고,1620,1486
이촌(국립중앙박물관),3364,2434
광명,2984,2759
서동탄,1219,1217
당정,4486,4111
천안,7180,7381
두정,5977,5990
직산,778,744
성환,3246,3050
평택,14850,14293
평택지제,3709,3314
서정리,7752,6142
송탄,5468,4743
진위,1135,961
오산,10562,9805
오산대,3159,2827
세마,2661,2359
병점,13422,13148
세류,2895,2869
독산,9446,8916
수원,41832,46059
화서,6308,6014
성균관대,11373,11392
의왕,6229,6012
군포,4366,3899
금정,20772,20605
명학,4898,4533
안양,19624,19679
관악,6701,6297
석수,7193,6630
금천구청,8730,8428
가산디지털단지,6576,8562
구로,14179,14935
신길,6130,5054
신도림,3195,3351
영등포,45909,48752
대방,7426,7925
노량진,8231,7094
용산,42518,46262
남영,6281,6174
서울역,9107,2294
여주,2771,3100
세종대왕릉,427,420
부발,2336,1955
이천,3045,3188
신둔도예촌,1326,1302
곤지암,2076,2156
초월,2551,2253
경기광주,6093,5442
삼동,1598,1502
이매,948,714
판교,3560,3488
중앙보훈병원,5523,4994
둔촌오륜,690,724
올림픽공원(한국체대),6238,6296
한성백제,1954,1670
송파나루,4439,4976
석촌,7327,5840
석촌고분,4607,4295
삼전,5283,4779
종합운동장,3777,3666
봉은사,19490,21329
삼성중앙,3488,3501
선정릉,5025,5616
언주,6838,6785
신논현,27558,28211
사평,2728,2468
고속터미널,15654,22519
신반포,3195,3249
구반포,851,877
동작(현충원),1515,1450
흑석(중앙대입구),6346,6256
노들,3846,3201
노량진,21486,21404
샛강,3252,3013
여의도,14231,13773
국회의사당,5086,5255
당산,14208,13155
선유도,4097,3864
신목동,2696,2192
염창,12926,11801
등촌,7819,7218
증미,4414,4174
가양,15064,14289
양천향교,6136,5814
마곡나루(서울식물원),8497,8489
신방화,5180,4785
공항시장,2458,2445
김포공항,8819,13152
개화,1487,1265
남위례,3864,3870
모란,5501,4762
수진,4568,4114
신흥,3924,4156
단대오거리,8047,7634
남한산성입구(성남법원.검찰청),9898,8434
산성,4508,4462
복정,6613,5458
장지,13304,12385
문정,8923,8787
가락시장,5476,5673
송파,6263,5867
석촌,6092,7205
잠실(송파구청),14921,17837
몽촌토성(평화의문),4269,4404
강동구청,6488,6526
천호(풍납토성),12786,15230
암사,13192,11709
온수(성공회대입구),5979,5919
천왕,7466,7114
광명사거리,17982,17700
철산,16616,16644
가산디지털단지,15518,13943
남구로,8626,8977
대림(구로구청),7617,8217
신풍,8532,8165
보라매,5645,5459
신대방삼거리,11134,10140
장승배기,6938,6383
상도,8206,7365
숭실대입구(살피재),8888,8665
남성,8262,7415
이수,13827,13255
내방,8325,8306
고속터미널,16311,12484
반포,4851,4663
논현,10601,11461
학동,11112,11737
강남구청,9965,11176
청담,12014,13279
뚝섬유원지,10057,9302
건대입구,11968,12873
어린이대공원(세종대),9901,9421
군자(능동),11602,8546
중곡,7244,6622
용마산(용마폭포공원),4765,4601
사가정,12725,12053
면목,11272,10535
상봉(시외버스터미널),14336,13717
중화,8025,7481
먹골,8194,7681
태릉입구,7081,6457
공릉(서울과학기술대),9090,8564
하계,13264,11962
중계,9950,8614
노원,17377,18293
마들,9695,8882
수락산,11195,11020
도봉산,6821,9229
장암,2015,1458
봉화산(서울의료원),5781,5548
화랑대(서울여대입구),7141,5910
태릉입구,4375,4477
석계,8944,8852
돌곶이,6350,5874
상월곡(한국과학기술연구원),4312,3653
월곡(동덕여대),7657,7198
고려대(종암),5628,5349
안암(고대병원앞),6784,6365
보문,5281,4681
창신,2221,1807
동묘앞,7654,7337
신당,4882,4620
청구,2420,2373
약수,2621,2618
버티고개,1567,1673
한강진,9321,11488
이태원,15191,20343
녹사평(용산구청),5370,6040
삼각지,6011,4466
효창공원앞,4892,4073
공덕,10961,10376
대흥(서강대앞),5918,6001
광흥창(서강),5471,4983
상수,9143,11479
합정,13286,12966
망원,12650,13668
마포구청,9723,8345
월드컵경기장(성산),4742,4967
디지털미디어시티,8173,8025
증산(명지대앞),7810,7339
새절(신사),9161,8409
구산,5983,4428
연신내,1,0
독바위,2176,2248
불광,4144,3707
역촌,2765,2927
응암,13321,12884
하남검단산,6206,6010
하남시청(덕풍·신장),6278,5895
하남풍산,3224,3169
미사,13050,13187
강일,3437,3061
마천,4932,5001
거여,7150,6541
개롱,4313,4377
오금,2231,2095
방이,5256,5200
올림픽공원(한국체대),3338,2701
둔촌동,5994,5971
상일동,10020,9199
고덕,6868,6661
명일,6700,6583
굽은다리(강동구민회관앞),8095,7675
길동,6479,6550
강동,13757,12843
천호(풍납토성),18560,17645
광나루(장신대),11603,10833
아차산(어린이대공원후문),12356,11614
군자(능동),8677,9795
장한평,12054,11555
답십리,10848,9615
마장,3909,3728
왕십리(성동구청),3639,4796
행당,6053,5057
신금호,4388,4469
청구,2712,2425
동대문역사문화공원(DDP),1085,1327
을지로4가,3451,3814
종로3가,12954,13305
광화문(세종문화회관),17207,18073
서대문,7959,7557
충정로(경기대입구),2117,1901
애오개,3920,3803
공덕,7667,7783
마포,7969,8117
여의나루,14470,16494
여의도,12870,13661
영등포시장,8607,8812
영등포구청,2188,1962
양평,4009,3656
오목교(목동운동장앞),17750,18272
목동,11875,11753
신정(은행정),9632,7974
까치산,22276,20489
화곡,21408,19257
우장산,10632,10349
발산,13825,15253
마곡,5932,6114
송정,5283,5054
김포공항,8735,8904
개화산,3997,3754
방화,4969,4705
남태령,1265,785
사당,24411,21790
총신대입구(이수),15580,16723
동작(현충원),1358,1366
이촌(국립중앙박물관),8614,9422
신용산,12864,14074
삼각지,3906,5110
숙대입구(갈월),10141,9669
서울역,6506,15647
회현(남대문시장),19193,20249
명동,16468,18960
충무로,13034,14664
동대문역사문화공원(DDP),12334,10665
동대문,14953,15555
혜화,30220,32190
한성대입구(삼선교),10702,10203
성신여대입구(돈암),17449,16633
길음,15926,14679
미아사거리,23570,22114
미아(서울사이버대학),11217,10317
수유(강북구청),27863,27467
쌍문,22514,19614
창동,20659,21660
노원,16929,19058
상계,14611,13341
당고개,8157,7364
오금,4117,3667
경찰병원,4315,4133
가락시장,6479,6012
수서,14417,14120
일원,5290,5252
대청,6173,5620
학여울,2776,2831
대치,9965,8987
도곡,3410,3366
매봉,6639,6385
양재(서초구청),20827,22872
남부터미널(예술의전당),22342,21880
교대(법원.검찰청),7500,4649
고속터미널,56574,56214
잠원,3660,3461
신사,24746,26687
압구정,26271,27897
옥수,7442,7389
금호,5963,5275
약수,9489,8807
동대입구,6183,6986
을지로3가,5479,5834
종로3가,6371,9173
안국,16790,18199
경복궁(정부서울청사),18270,20546
독립문,5881,6029
무악재,2843,2840
홍제,13892,12590
녹번,11323,9439
불광,13581,15065
연신내,30910,28611
구파발,17343,17489
지축,3853,3607
용두(동대문구청),1791,1671
신정네거리,8194,8116
양천구청,4780,4615
도림천,853,809
신설동,3456,3358
신답,1104,1154
용답,2244,2007
충정로(경기대입구),5835,6062
아현,7862,7142
이대,10733,10954
신촌,33758,34451
홍대입구,73994,83089
합정,29136,33589
당산,12679,13594
영등포구청,12710,13192
문래,13490,14609
신도림,41420,42037
대림(구로구청),18634,19416
구로디지털단지,36307,35114
신대방,20623,19270
신림,49999,47700
봉천,18563,16449
서울대입구(관악구청),39005,36886
낙성대(강감찬),22801,20606
사당,36051,40814
방배,10400,10641
서초,12306,9873
교대(법원.검찰청),18757,21480
강남,63995,64281
역삼,19035,20596
선릉,26566,23181
삼성(무역센터),43193,42350
종합운동장,14476,16087
잠실새내,18905,19710
잠실(송파구청),74778,72054
잠실나루,7844,7522
강변(동서울터미널),30479,30717
구의(광진구청),17246,16390
건대입구,36051,40578
성수,22054,25522
뚝섬,14725,14964
한양대,4461,4573
왕십리(성동구청),13957,12393
상왕십리,10300,9409
신당,11463,11622
동대문역사문화공원(DDP),11282,13037
신길,2890,2778
복정,3,0
오빈,333,328
을지로4가,7644,7797
을지로3가,11839,12351
을지로입구,24099,24656
시청,10136,8999
동묘앞,11335,11625
청량리(서울시립대입구),18566,19175
제기동,15780,16039
신설동,10313,9609
동대문,10370,10191
종로5가,19037,19497
종로3가,23940,22485
종각,21311,20733
시청,12202,12690
서울역,36244,36601
아신,780,772
국수,689,759
지평,66,80
용문,2644,3104
원덕,466,473
신원,239,173
양평,3116,3271
양수,2958,3035
운길산,1073,1080
팔당,1412,1431
도심,1804,1515
덕소,5018,5036
양정,624,502
도농,7751,7286
구리,11117,11400
양원,2007,1978
망우,7104,6880
상봉(시외버스터미널),5154,4989
중랑,4771,4410
회기,21077,19192
신창(순천향대),1098,1020
온양온천,5617,5593
배방,1154,1152
탕정,887,760
아산,3453,3435
쌍용(나사렛대),1932,1697
봉명,946,917
대화,9195,8034
주엽,7642,7241
정발산,7296,7935
마두,5419,5440
백석,7904,7810
대곡,1552,1368
화정,13816,14071
원당,8959,8316
삼송,15926,15074
원흥,8104,7438
신설동,1420,1445
보문,1221,1107
성신여대입구(돈암),2932,3507
정릉,3902,3108
북한산보국문,5119,4410
솔샘,4196,3565
삼양사거리,2203,2010
삼양,1645,1567
화계,2671,2503
가오리,3282,3086
4.19민주묘지,2605,2304
솔밭공원,1920,1809
서강대,1414,1436
홍대입구,1885,2275
가좌,3055,3008
디지털미디어시티,1601,1411
수색,933,1012
화전,871,901
강매,1499,1449
행신,4967,4561
능곡,2167,2126
곡산,356,332
백마,3547,3502
풍산,3623,3427
일산,4944,4710
탄현,4367,4185
야당,5128,5156
운정,3771,3714
금릉,3014,3090
금촌,4450,4854
월롱,1107,2263
파주,669,623
문산,4162,4471
임진강,57,37
개봉,12130,12110
오류동,7265,6820
역곡,14838,15014
부천,22505,22511
송내,13895,13553
부평,24344,24347
백운,4139,4120
동암,10364,10185
주안,12786,11409
제물포,5665,5456
동인천,9848,9629
인천,4068,3337
구일,5215,5170
소사,5119,5186
부개,5158,4717
간석,3454,3160
도원,1754,1751
온수(성공회대입구),3847,3539
중동,5173,4821
도화,2520,2385
신내,1013,1081
갈매,1504,1245
별내,1899,1775
퇴계원,2028,1962
사릉,1357,1401
금곡,908,895
평내호평,3615,3419
천마산,1117,1109
마석,2839,2749
대성리,1568,938
청평,2442,1665
상천,418,332
가평,3780,2494
굴봉산,288,174
백양리,194,127
강촌,1006,557
김유정,414,441
남춘천,2789,2731
춘천,2181,1589
서울역,9292,8213
공덕,1269,1648
홍대입구,11826,11383
디지털미디어시티,3511,3630
마곡나루(서울식물원),2282,2602
김포공항,11824,6058
계양,5989,5799
검암,3641,3795
청라국제도시,3630,3582
운서,6165,6400
공항화물청사,1090,1144
인천공항1터미널,7988,7173
인천공항2터미널,4030,3722
영종,2835,2776
선바위,4451,3965
경마공원,15470,15853
대공원,7681,8641
과천,4053,3884
정부과천청사,5190,5320
인덕원,13272,13432
범계,16644,16466
선릉,2959,4347
한티,9735,9392
도곡,2802,2940
구룡,824,944
개포동,2284,2248
대모산입구,2253,2221
수서,8718,8506
수원,6239,5362
서울숲,6249,6182
압구정로데오,10479,11553
강남구청,3038,3462
선정릉,2007,2035
가천대,3996,4741
태평,8563,7978
모란,11894,12202
야탑,14336,14638
서현,16264,16205
수내,6481,6351
정자,7932,8304
미금,7867,8468
오리,5927,5127
이매,3756,3736
보정,1237,1156
죽전,7872,9080
구성,2617,2878
신갈,2209,2331
기흥,5783,5473
상갈,3093,3245
청명,2164,2247
영통,5329,5252
망포,6835,7179
매탄권선,2908,2780
수원시청,7881,7913
매교,1666,1663
고색,1845,1890
오목천,1687,1564
어천,591,724
야목,215,172
사리,2733,2385
달월,51,56
월곶,1805,1695
소래포구,4342,4090
인천논현,3016,3230
호구포,2150,2232
남동인더스파크,690,639
원인재,2943,2981
연수,3447,3537
송도,1531,1490
인하대,3424,3208
숭의,2002,1790
신포,1178,1055
인천,1179,1627
샛강,808,1177
대방,1226,887
서울지방병무청,1310,1486
보라매,1627,1519
보라매공원,1111,1192
보라매병원,2070,2177
당곡,2351,2229
신림,1138,1800
서원,1843,1721
서울대벤처타운,4425,4302
관악산(서울대),4605,4615
산본,9270,10036
대야미,3031,2800
반월,2533,2566
상록수,9994,9798
한대앞,5601,5464
중앙,12904,12839
고잔,4806,4714
초지,2708,2569
안산,10636,9621
신길온천,1249,1219
정왕,6041,6388
오이도,6300,6174
수리산,2155,2056
북한산우이,3443,3507
솔밭공원,1495,1482
4.19민주묘지,1925,1681
가오리,2462,2299
화계,2204,2062
삼양,1092,1188
삼양사거리,1603,1519
솔샘,2946,2748
북한산보국문,3806,3413
정릉,2855,2413
성신여대입구(돈암),2414,2755
보문,966,1018
신설동,1148,1153
원흥,5875,5667
삼송,11994,11749
원당,6280,6107
화정,9776,10121
대곡,1061,946
백석,5872,5778
마두,3549,3472
정발산,6054,6065
주엽,5191,5236
대화,6804,6130
봉명,579,615
쌍용(나사렛대),1279,1268
아산,3702,2271
탕정,656,668
배방,912,1056
온양온천,3493,3541
신창(순천향대),981,1189
회기,16067,16269
중랑,3585,3530
상봉(시외버스터미널),3887,3879
망우,5144,5176
양원,1386,1409
구리,8236,8424
도농,5512,5506
양정,468,401
덕소,3757,3679
도심,1369,1217
팔당,1441,1435
운길산,1028,942
양수,2510,2324
신원,237,168
국수,600,537
아신,663,493
오빈,265,244
양평,2597,2426
원덕,444,364
용문,4663,4107
지평,88,65
효창공원앞,1384,1572
신촌,301,354
서울역,1265,1083
소요산,4782,4258
동두천,1381,1915
보산,1389,1482
동두천중앙,2355,2181
지행,4830,4878
덕정,3361,3647
덕계,1994,1939
양주,5315,5304
녹양,2799,2611
가능,4133,3858
의정부,15090,15267
회룡,7702,7693
망월사,5026,5083
도봉산,7987,5698
도봉,3615,3388
방학,6061,5922
녹천,2568,2237
월계,3618,3348
광운대,4410,4444
석계,5132,5434
신이문,4791,4579
외대앞,5042,4966
청량리(서울시립대입구),15817,14212
왕십리(성동구청),10713,12067
응봉,1150,1089
옥수,63,26
한남,1866,1903
서빙고,1862,1821
이촌(국립중앙박물관),2659,1985
광명,3015,2129
서동탄,812,823
당정,2982,2964
천안,6777,6650
두정,4859,5372
직산,595,660
성환,2741,3168
평택,12708,13509
평택지제,2864,2719
서정리,4826,7139
송탄,3810,4811
진위,997,979
오산,8479,9070
오산대,2336,2186
세마,2004,1936
병점,9923,10831
세류,2272,2155
독산,6241,6371
수원,37288,36713
화서,4506,4511
성균관대,8341,8859
의왕,4255,4333
군포,3164,3128
금정,15240,15520
명학,3179,3096
안양,14844,14345
관악,5097,4718
석수,5254,5017
금천구청,6091,6188
가산디지털단지,4701,6655
구로,10540,10930
신길,4574,4138
신도림,2173,2503
영등포,37877,36569
대방,5370,6033
노량진,5545,5092
용산,39141,35727
남영,4978,5206
서울역,9350,1976
여주,2499,2370
세종대왕릉,302,273
부발,1683,2251
이천,2392,2583
신둔도예촌,1115,1035
곤지암,1590,1783
초월,1773,1716
경기광주,4384,4336
삼동,1136,1132
이매,747,598
판교,2850,2687
중앙보훈병원,3955,3939
둔촌오륜,618,619
올림픽공원(한국체대),4875,5095
한성백제,1624,1454
송파나루,3362,3679
석촌,4878,4196
석촌고분,3282,3280
삼전,3752,3726
종합운동장,2503,2307
봉은사,14767,15696
삼성중앙,2313,2290
선정릉,3094,3525
언주,4086,3918
신논현,17504,16627
사평,1786,1867
고속터미널,12307,16810
신반포,2120,2258
구반포,395,413
동작(현충원),1336,1118
흑석(중앙대입구),4033,4311
노들,2682,2334
노량진,14719,15814
샛강,1993,1917
여의도,10993,10154
국회의사당,5228,4829
당산,9597,9616
선유도,2962,2938
신목동,1857,1692
염창,9063,8963
등촌,5236,5404
증미,2643,2614
가양,11801,11484
양천향교,4195,4350
마곡나루(서울식물원),5596,5806
신방화,3715,3616
공항시장,1885,2093
김포공항,8740,12127
개화,1143,1009
남위례,2551,2629
모란,2738,2398
수진,3157,2846
신흥,2922,3132
단대오거리,5519,5495
남한산성입구(성남법원.검찰청),6965,6423
산성,3046,3191
복정,4998,4665
장지,9597,9939
문정,5466,5754
가락시장,3245,3891
송파,4657,4599
석촌,4314,5212
잠실(송파구청),11782,13335
몽촌토성(평화의문),3177,3218
강동구청,4678,4819
천호(풍납토성),9130,10433
암사,9043,8603
온수(성공회대입구),4203,4245
천왕,5186,5023
광명사거리,12877,12961
철산,11091,11160
가산디지털단지,10710,9909
남구로,7215,7097
대림(구로구청),8312,8043
신풍,6408,6074
보라매,3840,3970
신대방삼거리,7928,7866
장승배기,5018,4968
상도,5945,5890
숭실대입구(살피재),6008,6419
남성,5693,5690
이수,8724,8488
내방,5432,5726
고속터미널,14209,8768
반포,3072,3047
논현,5583,5820
학동,6463,6752
서울역,30175,28550
강남구청,5218,5759
청담,6937,7748
뚝섬유원지,7462,7131
건대입구,8578,8825
어린이대공원(세종대),7228,7298
군자(능동),8255,6403
중곡,5300,5136
용마산(용마폭포공원),3792,3727
사가정,8983,8781
면목,8047,7741
상봉(시외버스터미널),9616,8981
중화,5773,5581
먹골,5567,5546
태릉입구,5211,4821
공릉(서울과학기술대),6291,6483
하계,9715,9282
중계,6836,6426
노원,12244,12522
마들,6082,5723
수락산,8808,8888
도봉산,5974,7939
장암,1726,1229
봉화산(서울의료원),3977,4035
화랑대(서울여대입구),5168,4544
태릉입구,3140,3510
석계,6552,6912
돌곶이,5725,5369
상월곡(한국과학기술연구원),3284,3003
월곡(동덕여대),5304,5264
고려대(종암),4136,4047
안암(고대병원앞),4900,5246
보문,4067,3933
창신,1623,1519
동묘앞,5608,5807
신당,3439,4157
청구,1632,1536
약수,1751,1757
버티고개,1042,1148
한강진,6749,7464
이태원,13710,11372
녹사평(용산구청),3939,3756
삼각지,4260,3132
효창공원앞,3455,3103
공덕,6797,6392
대흥(서강대앞),4010,4173
광흥창(서강),4338,4208
상수,6755,7814
합정,9991,9042
망원,9203,9952
마포구청,6969,6395
월드컵경기장(성산),3277,3486
디지털미디어시티,5381,5773
증산(명지대앞),5638,5664
새절(신사),6550,6304
구산,3975,3228
독바위,1569,1857
불광,3318,2994
역촌,2116,2145
응암,9481,9566
하남검단산,5001,4846
하남시청(덕풍·신장),4277,4120
하남풍산,2403,2327
미사,9214,9448
강일,2388,2242
마천,3598,3904
거여,4722,4465
개롱,3034,3305
오금,1609,1522
방이,3887,3849
올림픽공원(한국체대),2411,2010
둔촌동,4531,4558
상일동,6967,6786
고덕,4344,4583
명일,5275,5318
굽은다리(강동구민회관앞),5887,5639
길동,4227,4205
강동,9282,9091
천호(풍납토성),13188,12532
광나루(장신대),7714,7294
아차산(어린이대공원후문),9475,9158
군자(능동),6128,7020
장한평,8097,8241
답십리,7645,7097
마장,2879,2706
왕십리(성동구청),2523,3226
행당,4004,3623
신금호,3026,3336
청구,1884,1710
동대문역사문화공원(DDP),767,858
을지로4가,1655,1718
종로3가,8959,8058
광화문(세종문화회관),12048,12614
서대문,5217,5058
충정로(경기대입구),1490,1585
애오개,2734,2803
공덕,4580,4524
마포,4898,4856
여의나루,13251,14672
여의도,9042,9544
신길,2076,2215
영등포시장,5468,5618
영등포구청,1316,1285
양평,2624,2755
오목교(목동운동장앞),12184,12733
목동,7916,8064
신정(은행정),6389,5842
까치산,15929,15333
화곡,14632,14002
우장산,7231,7437
발산,9545,10325
마곡,3814,3929
송정,3673,3758
김포공항,8094,7904
개화산,2763,2794
방화,3699,3712
남태령,901,564
사당,17337,15960
총신대입구(이수),10753,11582
동작(현충원),893,952
이촌(국립중앙박물관),6408,6972
신용산,9859,10220
삼각지,3061,4099
숙대입구(갈월),8069,7970
서울역,4904,12015
회현(남대문시장),8982,8844
명동,13604,13440
충무로,8158,8807
동대문역사문화공원(DDP),10000,8773
동대문,6789,7681
혜화,23747,24909
한성대입구(삼선교),7771,7735
성신여대입구(돈암),12971,12703
길음,11167,10826
미아사거리,17009,16138
미아(서울사이버대학),8448,7994
수유(강북구청),20795,20124
쌍문,16325,14904
창동,15216,15918
노원,12428,13373
상계,10557,9831
당고개,6395,6154
오금,2793,2685
경찰병원,2960,2976
가락시장,3752,4010
수서,10684,10777
일원,3661,3724
대청,4290,4136
학여울,2132,2241
대치,6143,5432
도곡,1948,2010
매봉,4503,4547
양재(서초구청),13700,15780
남부터미널(예술의전당),15818,16647
교대(법원.검찰청),4788,2929
고속터미널,47291,43582
잠원,2173,2245
신사,13923,14083
압구정,14896,15525
옥수,5020,5290
금호,4295,4177
약수,6696,6503
동대입구,5237,5671
을지로3가,3645,3351
종로3가,4430,5612
안국,11627,11765
경복궁(정부서울청사),14680,15816
독립문,4127,4369
무악재,1872,1993
홍제,9603,9145
녹번,7547,6799
불광,9886,11473
연신내,22357,21045
구파발,12896,13248
지축,2744,2541
용두(동대문구청),1092,1064
신정네거리,5570,5562
양천구청,3336,3517
도림천,506,467
신설동,3129,3030
신답,769,833
용답,1764,1650
충정로(경기대입구),3812,4113
아현,5519,5448
이대,7314,8047
신촌,25382,24808
홍대입구,58059,57719
합정,21751,23608
당산,8453,9285
영등포구청,7673,7975
문래,7409,7854
신도림,28877,29650
대림(구로구청),15859,16131
구로디지털단지,25222,24884
신대방,15752,15314
신림,37495,36828
봉천,13299,12668
서울대입구(관악구청),27091,28154
낙성대(강감찬),16671,17351
사당,24676,26737
방배,7215,7774
서초,13277,11846
교대(법원.검찰청),11303,12523
강남,37133,35597
역삼,11554,12726
선릉,14125,12292
삼성(무역센터),32636,31402
종합운동장,9814,10937
잠실새내,12386,12958
잠실(송파구청),53991,50798
잠실나루,5677,5788
강변(동서울터미널),25106,23256
