사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202207,7호선,중곡,0,0,6154,648,13283,4706,31257,14358,44535,29887,27584,13606,16322,9189,14297,8602,14538,10198,13709,10707,12584,10854,13263,13717,18676,15644,19760,21018,21448,33123,11971,27455,7997,16707,6001,15256,4656,13979,1663,8415,198,2495,0,0,0,0,0,0,20220803
202206,7호선,중곡,3,0,5980,735,13291,4540,31292,15207,44921,29571,27214,13293,16562,9111,14446,8478,14493,10225,13600,10665,12286,11192,13200,13862,18785,16286,19927,20491,21336,32418,11758,27038,8275,16436,7042,14969,5049,13999,1521,8394,191,2266,0,0,0,0,0,0,20220703
202205,7호선,중곡,2,0,6436,805,13972,4760,32920,15323,46559,30179,28138,13289,17192,9483,14770,8778,15320,10312,14729,11152,13208,11522,14181,14785,19592,16872,20495,22599,22298,33162,12213,28058,8306,17287,7046,15253,5314,15163,1527,9918,14,284,0,0,0,0,0,0,20220926
202204,7호선,중곡,0,0,5890,787,12955,4272,30930,14991,44408,28063,26319,12055,15560,8539,14141,8181,14093,9143,13727,10294,11985,10707,12563,13409,18210,15837,19171,21868,21125,31413,11073,26581,7147,16270,6327,14038,4869,13821,1454,8880,20,320,0,0,0,0,0,0,20220503
202203,7호선,중곡,2,0,5323,692,11607,4176,29254,14456,40963,27435,23869,11367,13446,8037,11978,7495,13463,9003,12746,9737,11424,10067,12211,12676,16661,14330,17402,19604,19796,29975,10519,25368,6669,14721,5700,12617,4288,12617,1239,8039,9,213,0,0,0,0,0,0,20220403
202202,7호선,중곡,0,0,4413,593,9323,3472,24030,9182,35991,22991,21147,10551,12331,7284,11779,7165,12828,8324,11497,8942,10631,9250,10428,11405,12024,12763,14463,17436,16701,26750,9003,22256,5904,13693,5164,14760,3186,11199,696,4272,5,65,0,0,0,0,0,0,20220303
202201,7호선,중곡,1,0,4825,702,10712,3523,26869,9990,42595,26472,24509,11737,14531,8683,13798,8258,15013,9469,13344,10497,12426,10893,12440,13421,13751,14789,16813,20049,19307,30687,9809,25616,7033,15553,6638,19696,3609,12190,781,4429,4,88,0,0,0,0,0,0,20220203
202112,7호선,중곡,1,0,5438,737,12243,4102,29878,13190,47444,29178,27048,12427,15365,8646,14360,8777,14457,9998,13635,10637,12757,11210,13380,14333,18683,16761,18806,22197,20732,33437,10532,27227,7029,16281,6450,17643,4219,12635,1219,6560,8,169,0,0,0,0,0,0,20220103
202111,7호선,중곡,2,0,5538,620,12242,4408,30428,12193,47730,26316,26511,10999,15064,8296,13662,8337,13702,9167,12822,10158,11725,10700,12516,13219,17399,16152,18309,21629,18843,32971,10409,27380,6659,15862,5978,14385,4271,13134,1336,8345,16,218,0,0,0,0,0,0,20211203
202110,7호선,중곡,9,0,5519,657,11603,4158,27910,11037,41362,19324,25144,9599,15684,8616,14557,8300,13784,9389,13510,10243,11966,11096,12685,13371,16944,15848,16631,20658,13342,30215,9118,25299,5664,15207,5119,14198,4129,15117,910,6116,4,159,0,0,0,0,0,0,20211103
