날짜,건국대학교병원,건국대학교사범대학부속중학교,뚝섬1주차장,뚝섬2주차장,뚝섬3주차장,뚝섬4주차장,래미안프리미어팰리스주차장,보건복지행정타운,성진강변스파랜드,스테이더디자이너스군자오피스텔주차장,실로암사우나중곡점주차장,연한빌딩,와이엠프라젠스파,편안한요양병원
04-16-09,36.11532625189681,90.0,67.16417910447761,26.12359550561798,28.57142857142857,36.02941176470589,0.0,100.0,94.9640287769784,76.0,93.84615384615384,2.127659574468085,19.900497512437813,35.38461538461539
04-16-10,40.21244309559939,90.0,77.61194029850746,26.685393258426966,39.285714285714285,51.47058823529412,0.0,100.0,94.9640287769784,76.0,100.0,6.382978723404255,22.388059701492537,35.38461538461539
04-16-11,38.39150227617603,90.0,74.6268656716418,33.42696629213483,51.78571428571429,52.20588235294118,0.0,100.0,94.9640287769784,76.0,89.23076923076924,8.51063829787234,21.393034825870647,36.92307692307693
04-16-12,39.90895295902883,90.0,73.13432835820896,36.79775280898877,64.28571428571429,63.23529411764706,0.0,100.0,94.9640287769784,76.0,87.6923076923077,17.02127659574468,13.432835820895525,38.46153846153847
04-16-13,40.06069802731411,90.0,79.1044776119403,38.48314606741573,74.10714285714286,75.0,0.0,100.0,94.9640287769784,76.0,96.92307692307692,21.27659574468085,13.432835820895525,38.46153846153847
04-16-14,42.4886191198786,90.0,94.02985074626866,40.16853932584269,90.17857142857144,100.0,0.0,100.0,94.9640287769784,76.0,98.46153846153848,21.27659574468085,10.945273631840797,38.46153846153847
04-16-15,42.792109256449166,90.0,91.04477611940298,46.62921348314607,92.85714285714286,100.0,0.0,100.0,94.9640287769784,76.0,100.0,40.42553191489361,11.442786069651742,38.46153846153847
04-16-16,42.4886191198786,90.0,97.01492537313432,44.662921348314605,100.0,100.0,0.0,100.0,94.9640287769784,76.0,93.84615384615384,31.91489361702128,16.91542288557214,38.46153846153847
04-16-17,41.27465857359636,90.0,94.02985074626866,33.70786516853933,91.96428571428572,100.0,0.0,100.0,94.9640287769784,76.0,89.23076923076924,36.17021276595745,20.39800995024876,35.38461538461539
04-16-18,39.60546282245827,90.0,86.56716417910447,16.573033707865168,76.78571428571429,80.14705882352942,0.0,100.0,94.9640287769784,76.0,86.15384615384616,36.17021276595745,19.402985074626866,33.84615384615385
04-16-19,36.722306525037936,90.0,38.80597014925373,12.921348314606742,62.5,66.91176470588235,0.0,100.0,94.9640287769784,76.0,83.07692307692308,40.42553191489361,11.442786069651742,36.92307692307693
04-16-20,34.901365705614566,90.0,29.850746268656717,27.52808988764045,47.32142857142857,64.70588235294117,0.0,100.0,94.9640287769784,76.0,83.07692307692308,34.04255319148936,1.4925373134328357,36.92307692307693
04-16-21,33.53566009104704,90.0,29.850746268656717,22.191011235955056,51.78571428571429,55.88235294117647,0.0,100.0,94.9640287769784,76.0,58.46153846153847,27.659574468085108,0.0,38.46153846153847
04-16-22,32.47344461305007,90.0,35.82089552238806,16.01123595505618,40.17857142857143,48.52941176470589,0.0,100.0,94.9640287769784,76.0,55.38461538461539,21.27659574468085,0.4975124378109453,41.53846153846154
04-16-23,30.349013657056144,90.0,20.8955223880597,6.460674157303371,39.285714285714285,30.14705882352941,0.0,100.0,94.9640287769784,76.0,55.38461538461539,12.76595744680851,1.4925373134328357,35.38461538461539
04-17-00,30.045523520485585,90.0,10.44776119402985,0.0,29.464285714285715,23.52941176470588,0.0,100.0,94.9640287769784,76.0,38.46153846153847,2.127659574468085,2.985074626865672,35.38461538461539
04-17-01,29.1350531107739,90.0,8.955223880597014,0.0,21.428571428571427,24.264705882352946,0.0,100.0,94.9640287769784,76.0,36.92307692307693,2.127659574468085,3.482587064676617,35.38461538461539
04-17-02,29.438543247344462,90.0,7.462686567164178,0.0,18.75,22.058823529411764,0.0,100.0,94.9640287769784,76.0,38.46153846153847,2.127659574468085,3.482587064676617,35.38461538461539
04-17-03,29.438543247344462,90.0,8.955223880597014,0.0,17.857142857142858,19.852941176470587,0.0,100.0,94.9640287769784,76.0,38.46153846153847,2.127659574468085,1.4925373134328357,35.38461538461539
04-17-04,29.74203338391502,90.0,5.970149253731343,0.0,18.75,17.647058823529413,0.0,100.0,94.9640287769784,76.0,38.46153846153847,2.127659574468085,1.4925373134328357,35.38461538461539
04-17-05,29.590288315629746,90.0,0.0,0.0,17.857142857142858,18.38235294117647,0.0,100.0,94.9640287769784,76.0,43.07692307692308,2.127659574468085,1.9900497512437807,38.46153846153847
04-17-06,31.41122913505311,90.0,0.0,0.0,18.75,16.176470588235293,0.0,100.0,94.9640287769784,76.0,49.23076923076923,2.127659574468085,10.945273631840797,35.38461538461539
04-17-07,38.08801213960547,90.0,0.0,0.0,18.75,19.11764705882353,0.0,100.0,94.9640287769784,76.0,64.61538461538461,6.382978723404255,10.44776119402985,36.92307692307693
04-17-08,54.3247344461305,90.0,0.0,0.0,19.642857142857142,37.5,0.0,100.0,94.9640287769784,76.0,73.84615384615385,8.51063829787234,2.985074626865672,44.61538461538462
04-17-09,67.37481031866464,90.0,25.37313432835821,22.47191011235955,21.428571428571427,44.85294117647059,0.0,100.0,94.9640287769784,76.0,73.84615384615385,19.148936170212767,0.9950248756218906,55.38461538461539
04-17-10,82.39757207890743,90.0,25.37313432835821,22.191011235955056,25.892857142857142,43.38235294117647,0.0,100.0,94.9640287769784,76.0,73.84615384615385,23.404255319148938,1.4925373134328357,53.84615384615385
04-17-11,81.79059180576631,90.0,29.850746268656717,27.247191011235955,30.35714285714285,46.32352941176471,0.0,100.0,94.9640287769784,76.0,75.38461538461539,34.04255319148936,2.4875621890547266,58.46153846153847
04-17-12,73.44461305007587,90.0,28.35820895522388,26.40449438202247,32.142857142857146,56.61764705882353,0.0,100.0,94.9640287769784,76.0,73.84615384615385,27.659574468085108,2.4875621890547266,58.46153846153847
04-17-13,79.96965098634294,90.0,31.343283582089555,30.0561797752809,42.85714285714285,66.17647058823529,0.0,100.0,94.9640287769784,76.0,67.6923076923077,25.53191489361702,1.4925373134328357,58.46153846153847
04-17-14,90.5918057663126,90.0,35.82089552238806,23.03370786516854,47.32142857142857,69.11764705882352,0.0,100.0,94.9640287769784,76.0,69.23076923076923,34.04255319148936,1.9900497512437807,60.0
04-17-15,76.02427921092566,90.0,38.80597014925373,22.47191011235955,50.89285714285714,66.17647058823529,0.0,100.0,94.9640287769784,76.0,86.15384615384616,31.91489361702128,5.970149253731343,58.46153846153847
04-17-16,62.9742033383915,90.0,34.32835820895522,17.696629213483146,56.25,59.55882352941176,0.0,100.0,94.9640287769784,76.0,87.6923076923077,34.04255319148936,0.4975124378109453,58.46153846153847
04-17-17,45.37177541729893,90.0,23.88059701492537,15.730337078651685,48.21428571428572,55.88235294117647,0.0,100.0,94.9640287769784,76.0,75.38461538461539,42.5531914893617,1.9900497512437807,49.23076923076923
04-17-18,39.60546282245827,90.0,26.86567164179105,8.146067415730338,54.46428571428571,56.61764705882353,0.0,100.0,94.9640287769784,76.0,72.3076923076923,46.80851063829788,6.965174129353234,40.0
04-17-19,40.81942336874052,90.0,34.32835820895522,5.8988764044943816,45.535714285714285,50.73529411764706,0.0,100.0,94.9640287769784,76.0,75.38461538461539,38.297872340425535,10.945273631840797,38.46153846153847
04-17-20,38.39150227617603,90.0,40.298507462686565,2.808988764044944,52.67857142857143,60.29411764705882,0.0,100.0,94.9640287769784,76.0,58.46153846153847,23.404255319148938,6.965174129353234,38.46153846153847
